Question,A,B,C,D,E,index,Answer,explaination
Which is the most common inherited immunodeficiency?,A. Bruton’s X-linked agammaglobulinemia,B. Common variable immunodeficiency,C. Severe combined immunodeficiency,D. Selective IgA deficiency,E. C1 inhibitor deficiency,67.0,D. Selective IgA deficiency,"There is a high prevalence of IgA deficiency. Patients are usually asymptomatic or present with recurrent sino - pulmonary and gastrointestinal infections. IgA defi - ciency patients can cause anaphylactic reactions when exposed to IgA-containing products. Patients with this deficiency should get washed blood products (red blood cells, platelets) to remove IgA against which they could react."
Which immunoglobulin crosses the placenta?,A. IgM.,B. IgG,C. IgA,D. IgE,E. IgD,68.0,B. IgG,"Five immunoglobulin classes (isotypes) are found in serum and only IgG (immunoglobulin G) crosses the human placenta. Immunoglobulin G has four subclasses (IgG1, 2, 3, and 4). All subclasses of immunoglobulin G cross placenta."
"In the lymph node, dendritic cells would be found in the:",A. Subcapsular sinus,B. Primary follicle,C. Germinal center,D. Outer cortex,E. Medulla,69.0,C. Germinal center,"Germinal center contains proliferating B cells and follicular dendritic cells. It is round or oval zone with pale staining cells, surrounded by darker cells."
Immunological memory is a unique property of the immune system. Which of the following are the immu - nological memory cells?,A. T lymphocytes and NK cells,B. B lymphocytes and dendritic cells,C. T and B lymphocytes,D. Macrophages and B lymphocytes,E. B lymphocytes and lymphokine-activated killer (LAK) cells,70.0,C. T and B lymphocytes,T and B lymphocytes and natural killer (NK) cells are immunological memory cells. They produce an effective response if second encounter occurs with the same antigen.
Certain drugs may trigger an autoimmune response. Drug induced lupus antibodies are:,A. Anti-Ro antibodies,B. Anti-histone antibodies,C. Anti-Ul-ribonucleoprotein antibodies,D. Anti-Sm antibodies,E. Anti-Jo-1 antibodies,71.0,B. Anti-histone antibodies,"Drugs (procainamide, hydralazine) associated lupus produce anti-histone antibodies. In drug-induced lupus, anti-dsDNA antibodies are not found."
Hypersensitivity reactions are immune responses. Which of the following hypersensitivity immune response is responsible for Myasthenia Gravis?,A. Type II hypersensitivity,B. Type I hypersensitivity,C. Type IV hypersensitivity,D. Type III hypersensitivity,E. None of the above,72.0,A. Type II Hypersensitivity,Myasthenia gravis (MG) is a type II hypersensitivity immune response. The disease produces anti- acetylcholine (ACh) antibodies which block neuromus - cular transmission. There is a muscle weakness with 20 drooping eyelids. It may be associated with thymoma (10%).
Interleukin is defined as any class of glycoproteins pro - duced by leukocytes for regulating immune responses. Which interleukin is required for differentiation of eosinophils?,A. IL-2,B. IL-3,C. IL-4,D. IL-5,E. IL-10,73.0,D. IL-5,Interleukin-5 is produced by T helper type 2 (Th2) cells. It activates B cells. Eosinophils are recruited by Interleukin-5.
Which of the following Interleukin is being used as immunotherapy for renal cell carcinoma and metastatic melanoma?,A. Interleukin-1,B. Interleukin-2,C. Interleukin-4,D. Interleukin-5,E. Interleukin-10,74.0,B. Interleukin-2,"Interleukin-2 (IL-2) is produced by activated T helper cells. It augments T cells, large granular lymphocyte (LGL), and B cells activity. Interleukin-2 (IL-2) is one of the key cytokines used for the therapy of metastatic mel - anoma and renal cell carcinoma."
A 1-year-old boy has repeated upper respiratory infec - tions. Stool examination shows giardia lamblia cysts. Which of the following laboratory finding is likely to be useful in this boy?,A. Deficiencies of C5-C9,B. Low or absent immunoglobulins,C. Selective IgA deficiency,D. Antibodies to human immunodeficiency virus,E. Low CD4 count,75.0,B. Low or absent immunoglobulins,"X-linked agammaglobulinemia (XLA) of Bruton presents approximately at 2–6 months of age after maternal antibody wanes. It is caused by a defect in B cell maturation. There are extremely low or absent immunoglobulin levels (IgG < 200 mg/dl). CD 19 positive B cells are absent in peripheral blood. Patients present with recurrent respiratory infections due to streptococcus pneumoniae and haemophilus influenzae and gastrointestinal infections by giardia lamblia. In lymph nodes, lymphoid follicles and ger - minal centers are not formed because of the absence of B cells."
 Which of the following is produced by human cells in response to viral infection?,A. Tumor necrosis factors  18,B. Interferons,C. Interleukin-2,D. Interleukin-5,E. Interleukin-10,76.0,B. Interferons,"Type 1 interferons include IFN α and IFN β. IFN α is produced by leukocytes, inhibits viral replication. It is used to treat Hepatitis C. IFN β is produced by fibroblast and also inhibits viral replication. Interferon beta (IFN β) used to treat multiple sclerosis (MS). Type II interferons (IFNs) include IFN- γ (gamma). IFN- γ is produced by T helper cells and increases cell-mediated immunity (CMI)."
 Which of the following causes increased susceptibility to giardia lamblia?,A. Common variable immunodeficiency,B. DiGeorge syndrome,C. Severe combined immunodeficiency,D. Wiskott-Aldrich syndrome,E. Chronic granulomatous disease,77.0,A. Common variable immunodeficiency,"Common variable Immunodeficiency (CVID) may present at any age, often seen in adults. There is impaired B cell differentiation with defective immunoglobulin production. Mutation of genes for inducible costimula - tor (ICOS) occurs only in a small amount of patients. There are heterogeneous manifestations, including gas - trointestinal symptoms and recurrent infections. Common gastrointestinal symptoms are diarrhea, mal - absorption, and infections by helicobacter pylori and giardia lamblia."
" A child is getting infections of candida, cytomegalovirus (CMV) and pneumocystis jirovecii (carinii). What is the best etiology of these infections?",A. Common variable immunodeficiency,B. DiGeorge’s syndrome,C. Severe combined immunodeficiency,D. Wiskott-Aldrich syndrome,E. Bruton’s X-linked agammaglobulinemia,78.0,C. Severe combined immunodeficiency,"Severe combined immunodeficiency (SCID) is caused by the IL-2 receptor gamma chain mutation or adenosine deaminase deficiency (20q13, autosomal recessive). Usual presentation is shortly after birth to 6 months of age. T lymphocytes, B lymphocytes, and large granular lymphocytes (LGL) are low or absent. The absence of both cellular and humoral immunity leads to susceptibility to infections. Infections with bacterial, fungal, viral, and protozoal infections are frequently fatal."
 A latent HIV reservoir is a group of immune cells in the body that are infected with HIV but are not actively producing new HIV . Which of the following cells are the reservoirs for the HIV virus?,A. B lymphocytes,B. T lymphocytes,C. Eosinophils,D. Follicular dendritic cells,E. Neutrophils,79.0,D. Follicular dendritic cells,Follicular dendritic cells in the lymphoid tissue are a major reservoir for human immunodeficiency virus.
 Which of the following are examples of Type IV hypersensitivity?,A. Atopic eczema and contact dermatitis,B. Tuberculosis and graft-versus-host disease,C. Leprosy and myasthenia gravis,D. Poison Ivy and Arthus reaction,E. Chronic granulomatous disease and chronic allograft rejection.,80.0,B. Tuberculosis and graft-versus-host disease,Delayed type hypersensitivity (DTH) is mediated by CD4 cells. It is also known as Type IV hypersensitivity or cell mediated hypersensitivity. DTH occurs 48–72 h after exposure to an antigen. Classic examples are PPD skin test and poison ivy. Graft-versus-host disease (GVHD) and transplant rejection are also type 4 hyper - sensitivity reactions.
 Langerhans cell histiocytosis (LCH) is a rare disease. Which of the following is a marker for Langerhans cells?,A. CD30,B. CD1a,C. CD10,D. CD34,E. CD31,81.0,B. CD1a,"Langerhans cell histiocytosis (LCH) is common in children from 1–3 years of age, but may be seen in all age groups. CD1a is a common histiocytic marker for Langerhans cells in LCH."
 Amyloidosis is the general term used to refer to the extracellular tissue deposition of fibrils. Amyloid is stained by?,A. PAS,B. Congo red,C. Hematoxylin and eosin,D. Methenamine silver,E. Silver nitrate,82.0,B. Congo red,"In amyloidosis, protein fibrils accumulate in various organs. Light chain (AL) amyloid is commonly seen in systemic amyloidosis. Congo red stain is used to demon - strate amyloid deposits in tissues as green birefringence under polarized light."
 The mechanism by which an antigen triggers an adaptive immune response involves several steps. Which of the following cells do not act as antigen presenting cells?,A. B lymphocytes,B. Macrophages,C. Osteoclasts,D. Dendritic cells,E. Basophils,83.0,C. Osteoclasts,"Antigen elicits and combines with an immune response. Dendritic cells, macrophages, and B lympho - cytes are common antigen-presenting cells (APCs). In addition to these APCs, basophils are also considered as antigen-presenting cells. APCs transport antigens from tissues to lymphoid organs and also provide activating signals to T lymphocytes."
 Which is the most common specific antibody deficiency?,A. IgA,B. IgD,C. IgE,D. IgG,E. IgM,84.0,A. IgA,"There are five immunoglobulin classes of antibody molecules in the serum. They are IgG, IgM, IgA, IgE, and IgD. IgA deficiency is the most common."
" A 2-year-old boy presents with fever and a history of recurrent bacterial infections. Physical examination shows lymphadenitis, hepatospleno-megaly, and pneu - monia. Which of the following underlying condition best explain these findings?",A. Cystic fibrosis,B. Glucose-6-phosphate dehydrogenase (G6PD) deficiency,"C. Leukocyte adhesion deficiency, type 1",D. DiGeorge syndrome,E. Chronic granulomatous disease,85.0,E. Chronic granulomatous disease,"Chronic granulomatous disease (CGD) usually pres - ents by 2 years of age with lymphadenitis, hepatospleno - megaly, and pneumonia. Diagnosis is made by nitroblue tetrazolium reduction assay or newer, flow cytometric assays. CGD is genetically inherited as an X-linked dis - order in most of the cases. There are also autosomal recessive forms."
 Which of the following diseases is associated with HLA- B27 antigen?,A. Rheumatoid arthritis,B. Ankylosing spondylitis,C. Felty syndrome,D. Systemic lupus erythematosus (SLE),E. Hashimoto thyroiditis,86.0,B. Ankylosing spondylitis,Patients of ankylosing spondylitis (AS) have a higher incidence of HLA-B27. Ankylosing spondylitis causes chronic inflammation of the sacroiliac joints. Majority of patients are young and middle aged males. Patients present with low back pain and stiffness.
 Children with selective IgA deficiency are at increased risk for which of the following gastrointestinal condition?,A. Tufting enteropathy,B. Celiac disease,C. Juvenile polyposis,D. Necrotizing enterocolitis,E. Autoimmune enteropathy,87.0,B. Celiac disease,"Patients with selective IgA deficiency are at increased risk for celiac disease. Diagnosis may be hampered because serum levels (for antigliadin/or antiendomysial antibodies) are often normal. Patients are also at risk for infections, malabsorption, and unusual chronic inflam - matory diseases."
 Which of the following type of hypersensitivity is medi - ated by T cells?,A. Type I,B. Type II,C. Type III,D. Type IV,,88.0,D. Type IV,"Immunologic reactions are divided into four catego - ries according to the Gell and Coombs system. Antibody- mediated immunologic reactions are types I, II, and III. Type IV immunologic reaction is mediated by T cells."
 What is the best marker for enumerating total peripheral blood T cells?,A. CD4,B. CD83 Immune System Disorders 19,C. CD11b,D. CD14,E. CD3,89.0,E. CD3,"CD3 (cluster of differentiation 3) is a marker for cir - culating mature T cells. On routine flow cytometry, CD3 marker is used to identify total T cells including CD4 and CD8 cells."
 The high endothelial venules (HEV) are the sites at which:,A. Memory B cells enter the lymph node,B. Plasma cells leave the lymph node.,C. Foreign antigen enters the lymph node,D. Mature B cells leave the lymph node,E. Secretory antibody leaves the lymph node,90.0,A. Memory B cells enter the lymph node,"Mature B cells exit the spleen and migrate to lymph nodes. The paracortex of the lymph node contains high endothelial venules (HEVs), where circulating lympho - cytes leave the bloodstream to enter the lymph node. Postcapillary HEVs are lined by cuboidal endothelial cells."
 Which complement factor levels are assayed for defects in the alternate pathway of activation?,A. C1q,B. C3,C. C4,D. C5,E. C9,91.0,B. C3,Low level C3 activation is required to kick off the alternate pathway in response to liposaccharide. C3 is a sensitive marker for defects in the alternate pathway.
 What chromosome is home to the major histocompati - bility complex?,A. 3,B. 6,C. 11,D. 13,E. 17,92.0,B. 6,"MHC Classes I, II, and III are all located on the short arm of chromosome 6. Class I can be found on all nucleated cells. Class II protein is found on antigen- presenting cells. Class III is a special class composed of diverse complement components of genes such as Bf, C2, and C4 and encodes a hodge-podge of impor - tant and varied proteins, such as hydroxylase and TNF-alpha."
 Which of the following antibody activates complement through the alternate pathway?,A. IgG,B. IgM,C. IgA,D. IgD,E. IgE,93.0,C. IgA,"There are only three types of immunoglobulin capa - ble of activating complement: IgG, IgA, and IgM. Only IgA activates complement through the alternative pathway."
 What type of immunoglobulin receptor do mast cells express?,A. Fc alpha,B. Fc beta,C. Fc gamma,D. Fc delta,E. Fc epsilon,94.0,E. Fc epsilon,Mast cells are capable of binding IgE through Fc epsilon receptors.
 Which chromosome bears the genes for the heavy chains?,A. 2,B. 22,C. 14,D. 16,E. Depends on which heavy chain,95.0,C. 14,"The gene for mu, gamma, alpha, delta, and epsilon are located on the same chromosome 14. This is impor - tant for the mechanism of class type switching."
 Which of the following is an underlying cause of Henoch-Schonlein purpura?,A. Type III hypersensitivity reaction,B. Type II hypersensitivity reaction,C. Type IV hypersensitivity reaction,D. Type I hypersensitivity reaction,,96.0,A. Type III Hypersensitivity reaction,"Henoch-Schonlein purpura (HSP) is IgA immune complex mediated type III hypersensitivity reaction. HSP is a systemic vasculitis commonly seen in children between ages 3 and 10. It follows the upper respiratory tract infections. Common clinical manifestations are palpable purpura, arthralgias, abdominal pain. Diagnosis is confirmed by IgA deposits in blood vessels."
Which gene is found in Mantle cell lymphoma (MCL)?,A. CDK4,B. Ki-ras,C. Cyclin D1 gene,D. L-myc,E. N-myc,97.0,C. Cyclin D1 gene,"Mantle cell lymphoma (MCL) is B cell lymphoma derived from inner mantle zone cells. This consists of cleaved, distorted small lymphocytes around hyperplas - tic follicular centers. It is characterized by translocation at t(11:14). Translocation of cyclin D1 leads to the over - expression of cyclin D1. It has poor prognosis. There is frequent involvement of the GI tract causing lymphoma - toid polyposis."
"A 35-year-old HIV positive male patient presents with nontender, firm, rubbery lymph nodes in the left side of the neck. Histologically, large Hodgkin–Reed-Sternberg cells with multiple nuclei and prominent nucleoli are present. What is the diagnosis?",A. Nodular sclerosis cHL,B. Lymphocyte depleted cHL,C. Lymphocyte rich cHL,D. Non-Hodgkin lymphoma,E. Mixed cellularity cHL,98.0,B. Lymphocyte depleted cHL,"Lymphocyte depleted cHL (LDCHL) accounts for less than 1% of classic Hodgkin lymphoma (cHL). Histologically, it shows Hodgkin–Reed-Sternberg cells with multiple nuclei and prominent nucleoli. These cells grow within a background which is depleted in lympho - cytes. It is found in HIV infected patients. EBV positiv - ity is also seen in the majority of the patients. There is intense staining for CD30."
Which of the oncogene is present in squamous cell car - cinoma in the lung?,A. ErbB1,B. ErbB2,C. ErbB3,D. Ki-ras,E. Cyclin D,99.0,A. ErbB1,Epidermal growth factor receptor is a transmembrane glycoprotein that regulate signaling pathways to control cellular proliferation. Some lung cancer develop due to a mutation in an epidermal growth factor (ErbB1) recep - tor. Tyrosine kinase inhibitors have positive role in lung adenocarcinomas with mutated epidermal growth factor receptor.
Which of the following carcinoma shows increased expression of ERBB2 (HER2) gene?,A. Carcinoma of the stomach,B. Melanoma,C. Astrocytoma,D. Infiltrating ductal and intraductal carcinoma of the breast,E. Ovarian carcinoma  24,100.0,D. Infiltrating ductal and intraductal carcinoma,of the breast Increased expression of ERBB2 (HER2) gene is usu - ally found in infiltrating ductal and intraductal carci - noma of the breast. ERBB2 (HER2) is usually detected immunohistochemically and by fluorescence in situ hybridization (FISH) in the biopsy specimen.
Microscopic images from lymph node of a 35-year-old male patient are shown below. What is the diagnosis?,A. Mixed cellularity Hodgkin lymphoma,B. Nodular sclerosis Hodgkin lymphoma,C. Lymphocyte rich classical Hodgkin lymphoma,D. Lymphocyte depleted Hodgkin lymphoma,E. Non-Hodgkin lymphoma,101.0,B. Nodular sclerosis Hodgkin lymphoma,"Nodular sclerosis cHL (NSCHL) is characterized by a nodular growth pattern in the lymph node with fibrous bands separating cellular nodules. Diagnostic RS cells may be rare. Typically the majority of Hodgkin–Reed-  Sternberg (HRS) cells are lacunar cells. The background is inflammatory and usually consists of eosinophils,  neutrophils, macrophages, and areas of necrosis. Tissue fibrosis is commonly found in nodular sclerosis."
"Which of the following oncogene is found in the carci - noma of the lung, pancreas, and colon?",A. Ki-ras,B. L-myc,C. N-myc,D. CDK4,E. RET,102.0,A. Ki-ras,Mutational activation of KRAS (K-ras or Ki-ras) is commonly found in lung cancer and different types of epithelial cancers. Colon carcinomas and pancreatic adenocarcinomas are also found due to the mutations of KRAS.
Mediastinal tumors are rare neoplasms. The most com - mon tumor of the mediastinum is:,A. Lymphoma,B. Mediastinal germ cell tumor,C. Thymoma,D. Mediastinal lymphangioma,E. Mediastinal parathyroid adenomas,103.0,C. Thymoma,Tumors of thymus are usually found in the anterior mediastinum. It is commonly found in adults. It can be thymomas and thymic carcinomas. Thymoma is usually incidental finding during imaging studies. Thymoma accounts for 20% of mediastinal neoplasms. Patients usually present with the symptoms of paraneoplastic syndromes such as myasthenia gravis.
Naphthylamine is a chemical carcinogen responsible for which of the following carcinoma?,A. Angiosarcoma of liver,B. Squamous cell carcinoma of skin,C. Bronchogenic carcinoma,D. Carcinoma bladder,E. Lymphoma,104.0,D. Carcinoma bladder,Urinary bladder is caused by chemical carcinogen 2-Naphthylamine. There is an increased incidence of bladder cancer in workers associated with the manufac - ture and use of 2-naphthylamine. 2-naphthylamine car - cinogenicity is commonly due to the genotoxic mechanism of action that involves metabolic activation and induction of mutagenic and clastogenic effects.
Malignant tumor of mesenchymal tissue is referred to as?,A. Choristoma,B. Carcinoma,C. Hamartoma,D. Teratoma,E. Sarcoma,105.0,E. Sarcoma.,"Sarcoma is a malignant tumor arising from mesen - chymal tissue. Sarcomas can affect different types of connective tissues. Sarcoma is commonly found in bones, muscles, and cartilages. A common example is bone sarcoma or osteosarcoma. Sarcomas account for around 1% of all adult cancers. It is more common in children and accounts for approximately 15% of pediat - ric cancers."
" A 20-year-old male presents with anterior mediastinal mass. Biopsy of the mass is performed and H&E stained section shows cells which express CD20+, BSAP+, and EMA+. They show CD15 and CD30 expression. What is the diagnosis?",A. Nodular sclerosis Hodgkin lymphoma.,B. Mixed cellularity Hodgkin lymphoma.,C. Lymphocyte depleted Hodgkin lymphoma.,D. Lymphocyte rich Hodgkin lymphoma.,E. Lymphocyte predominant Hodgkin lymphoma,106.0,E. Lymphocyte predominant Hodgkin,"lymphoma Nodular lymphocyte predominant Hodgkin lym - phoma (NLPHL) is now recognized as being fundamen - tally different from other variants of Hodgkin lymphoma, which are collectively referred to as classical Hodgkin lymphoma (cHL). It is believed to arise from a more dif - ferentiated B cell than does cHL. As a result, in contrast to cHL (which lacks mature B cell antigens and expresses CD15 and/or CD30), NLPHL is almost always CD20+ and strongly BSAP+ and negative for CD15 and CD30 expression. In addition, it can be positive for EMA (not always present, but strongly supports the diagnosis)."
 A 10-year-old male presents with a rapidly enlarging maxillary mass. Biopsy is done and the microscopic pic - ture shows starry-sky appearance. What is the diagnosis?,A. Follicular lymphoma,B. Mantle cell lymphoma,C. Hodgkin lymphoma,D. Burkitt lymphoma,E. Lymphoblastic lymphoma,107.0,D. Burkitt lymphoma,"Burkitt lymphoma can be classified as either endemic, sporadic or immunodeficiency associated. They are mostly common in the jaw or abdomen. 95% of the tumors are associated with EBV infection. Immunodeficiency cases generally occur in adults with HIV infection and often involve the cecum or dis - tal ileum. All types are extremely fast growing with numerous mitotic figures. Histologically, there is a distinct starry sky appearance. The tangible body mac - rophages are the stars sprinkled throughout the sky of deep blue tumor cells. It is characterized by the trans - location and deregulation of the MYC gene on chro - mosome 8."
 A 59-year-old female with HIV/AIDS with history of diffuse large B cell lymphoma presents with left supra - clavicular adenopathy. Laboratory findings shows leu - kopenia and lymphopenia. An excisional biopsy of the enlarged lymph node is performed and H&E picture shows diffuse effacement of the lymph node by sheets of histiocytes. What is the diagnosis?,A. Mycobacterium tuberculosis infection,B. Cytomegalovirus infection,C. Nocardia infection,D. Actinomyces infection,E. Mycobacterium avium-intracellulare infection,108.0,E. Mycobacterium avium-intracellulare,infection Opportunistic infections with HIV/AIDS can occur in large B cell lymphoma. Patients usually prefer with leukopenia and lymphopenia with very low CD4+ T cell count. H&E sections of large B cell lymphoma show dif - fuse architectural effacement of the lymph node by the sheets of histiocytes. Acid fast stain show numerous intracellular rod shaped acid fast organisms. These find - ings are typical of mycobacterium avium-intracellulare (MAI) infection.
" Some benign tumors of the liver are typically discovered incidentally at laparotomy, autopsy, or during an imag - ing test performed for unrelated conditions. Which of the following is the most common benign tumor in the liver?",A. Hepatoma,B. Hemangioma,C. Hepatic adenoma,D. Cholangiosarcoma,E. Focal nodular hyperplasia,109.0,B. Hemangioma,The most common benign hepatic mesenchymal tumors are hepatic hemangioma. Hemangiomas are often isolated but in up to 40% of patients multiple lesions may occur both on the right and left lobe in the liver. They range between a few mm to more than 20 cm in size. Majority of them are small (< 5 cm). Bigger than 5 cm are termed as giant hemangiomas. The diagnosis is often made by distinguishing hemangiomas from other lesions.
 A 39-year-old man comes to the dentist’s office with symptoms of enlargement of left tonsil for the last 6 months. Physical examination shows enlargement of right palatine tonsil. Biopsy is done and microscopic picture shows effacement of germinal centers which are replaced by irregular nodules composed of small lym - phocytes. What is the diagnosis?,A. Hodgkin’s disease,B. Reactive lymphoid hyperplasia,C. Follicular lymphoma,D. Tonsillar abscess,E. Diffuse lymphoma,110.0,C. Follicular lymphoma,"Follicular lymphoma is a subtype of non-Hodgkin lymphoma. Follicular lymphomas are composed of many large centroblasts. CD43 T cell marker highlights the nodularity or follicular architecture. Negative stain - ing for CD43 is typical for follicular lymphoma. Histologically, the tumor consists of large cells with pleomorphic nuclei and prominent nucleoli."
 A 55-year-old male with a history of hyperimmuno- globulinemia presents with enlarged cervical lymph nodes. Biopsy of the lymph node is done and microscopic picture shows polymorphous appearance of a lymph node with diffuse effacement of the architecture. There is increased endothelial venules. What is the diagnosis?,A. Multicentric giant lymph node hyperplasia,B. Angioimmunoblastic T cell lymphoma,C. Lymphoma,D. Classic Hodgkin lymphoma mixed cellularity type,E. Sezary syndrome,111.0,B. Angioimmunoblastic T cell Lymphoma,"Angioimmunoblastic T cell lymphoma is usually an uncommon T cell type of non-Hodgkin lymphoma. It is more common in the elderly males. There is polymor - phous lymph node infiltration with diffuse effacement of the architecture. There is a marked increase in follicular dendritic cells and high endothelial venules. Numerous cells are CD2, CD3, and CD5 positive. CD10 co- expression in T cells is characteristic. All these features suggest angioimmunoblastic T cell lymphoma (AILT)."
 A 37-year-old male presents with lymph nodes in the right side of the neck. Biopsy of a lymph node is done and microscopic picture shows mixed inflammatory background without sclerosis and Hodgkin–Reed- Sternberg cells. What is the diagnosis?,A. Nodular sclerosis cHL,B. Mixed cellularity cHL,C. Lymphocyte rich cHL,D. Lymphocyte depleted cHL,E. Lymphocyte predominant Hodgkin lymphoma,112.0,B. Mixed cellularity cHL,"Mixed cellularity cHL (MCCHL) accounts for approximately 20–25% of classic Hodgkin lymphoma (cHL). It is a heterogeneous subtype of classic HL. Histologically, it has diffuse or nodular growth pat - tern. There is no band forming sclerosis. Classic Hodgkin–Reed-Sternberg cells are usually present along with fine interstitial fibrosis. The background usually consists of neutrophils, eosinophils, plasma cells, and macrophages."
 Prostate cancer is the second most common cancer in men worldwide. Which fusion gene is found in prostate cancer?,A. TMPRSS2-ERG,B. MYB-NFIB,C. PAX8-PPARG,D. ETV6-NTRK3,E. TFG-GPR128,113.0,A. TMPRSS2-ERG,"Recurrent gene fusion due to chromosomal rear - rangement takes place in prostate cancer. The most com - mon recurrent genomic alterations in prostate cancer are the fusion of the TMPRSS2, an androgen-regulated gene, and the ETS transcription family members (ERG, ETV1, ETV4, and ETV5). In almost half of the prostate specific antigen (PSA) screened patients with prostate cancer, TMPRSS2-ERG fusion products are found. Fusion of TMPRSS2-ERG shows a high correlation to disease recurrence for localized prostate cancer after surgery."
" A 17-year-old male presents with recurrent fever, weight loss, and a large painless lump in his groin for the last 8 months. Laboratory findings show pancytopenia. Imaging studies reveal diffuse lymphadenopathy. Cells shows anaplastic lymphoma kinase positivity. What is the diagnosis?",A. Anaplastic large cell lymphoma,B. Classical Hodgkin lymphoma,C. Diffuse large B cell lymphoma,D. Metastatic carcinoma,E. Malignant histiocytosis,114.0,A. Anaplastic large cell lymphoma,"Patients with anaplastic large cell lymphoma usually present with recurrent fever, weight loss. There may be enlarged painless mass in the lymph nodes areas. Laboratory findings show pancytopenia. Lymphoma is anaplastic lymphoma kinase positive. Histologically, it shows cohesive clusters of large tumor cells with chromatin-  poor nuclei and prominent nucleoli. There are also cells with kidney shaped nuclei."
 A 14-year-old boy presents with submandibular lymph - adenopathy for the last 2 months. Lymph nodes are freely mobile and firm. Biopsy shows scattered epitheli - oid histiocytes scattered in the cortical and paracortical areas. What is the diagnosis?,A. Toxoplasmosis,B. Cat scratch disease,C. Histoplasmosis,D. Lymphoblastic lymphoma,E. Metastatic cancer with unknown primary site,115.0,A. Toxoplasmosis,"In Toxoplasmosis, patients present with lymph nodes enlargement. Lymph nodes are usually mobile and firm. Histologically, there are scattered epithelioid histiocytes scattered haphazardly in the cortical and paracortical areas and encroaching the follicular margins, monocyt - oid cells, and large germinal centers."
 An 8-year-old boy brought to the pediatrician office by his mother. Physical examination shows hepatospleno - megaly. Laboratory findings show elevated transami - nases. Bone marrow biopsy shows numerous macrophages with a wrinkled tissue paper appearance. What is the diagnosis?,A. Niemann-Pick disease,B. GM1 gangliosidosis,C. Gaucher disease,D. Hand-Schuller-Christian disease,E. Mastocytosis Multiple Choice Questions 26,116.0,C. Gaucher disease,Gaucher disease is a type of lipid storage disease. There is a deposition of glucocerebroside in cells of the macrophage-monocyte system. It occurs due to defi - ciency of glucocerebrosidase. Patient presents with hep -4 Neoplastic Disorders 29 atosplenomegaly. Laboratory finding show elevated transaminases. The bone marrow aspirate shows numer - ous macrophages with a striated tubular pattern described as wrinkled tissue paper in appearance. This is the char - acteristic of Gaucher disease.
 Microscopic picture of a type of Hodgkin lymphoma is shown below. Cells have a strong expression of CD20. What is the diagnosis?,A. Nodular sclerosis cHL (NSCHL),B. Mixed cellularity cHL (MCCHL),C. Lymphocyte rich cHL (LRCHL),D. Lymphocyte depleted cHL (LDCHL),E. Nodular lymphocyte predominant HL (NLPHL),117.0,C. Lymphocyte rich cHL (LRCHL),"Lymphocyte rich cHL (LRCHL) is a type of classi - cal Hodgkin Lymphomas (CHL). EBV positivity is found in approximately 40% cases of LRCHL. NSCHL is the predominant subtype followed by MCCHL while lymphocyte rich cHL and lymphocyte dominant CHL are uncommon. Limited stage (Ann Arbor Stage I or II) peripheral lymphadenopathy is usually present in patients with LRCHL. Histologically, common pat - terns are nodular and diffuse. Small lymphocytes with eccentric and small germinal centers without any eosinophils or neutrophils are seen in LRCHL. Immunohistochemistry for CD20 highlights the nodu - lar pattern with a predominance of B cells. Lymphocyte-rich CHL, nodular variant."
" A 57-year-old male present with fever, night sweats, and enlarging lump in his right neck. Imaging studies shows diffuse mediastinal and retroperitoneal lymphadenopa - thy. Excisional biopsy shows numerous large cells with prominent nucleoli. The tumor shows CD20 positivity. What is the diagnosis?",A. Follicular lymphoma,B. Lymphoblastic lymphoma,C. Diffuse large B cell lymphoma,D. Mantle cell lymphoma,E. Mediastinal lymphoma,118.0,C. Diffuse large B cell lymphoma,"Diffuse large B cell lymphoma can affect persons of any age. It is most common in people over 50 years. It is slightly more common in man. Diffuse large B cell lym - phoma presents with fever and night sweats. There may be an enlarged lump in the neck. Imaging studies reveal diffuse mediastinal and retroperitoneal lymphadenopa - thy without organ involvement. Histologically, the tumor is composed of numerous large cells with dispersed chromatin and prominent nucleoli. Positivity of CD20 is important marker for diffuse B cell lymphomas."
"A 39-year-old diabetic patient presents with cough, fever, headache, nasal congestion, facial pain. On exam - ination there is black necrotic eschar in the nasal cavity. Histological examination of the affected tissue shows broad nonseptate hyphae with right-angle branching. What is the diagnosis?",A. Mucormycosis,B. Aspergillosis,C. Actinomyces israelii,D. Candida albicans,E. Leishmania major,119.0,A. Mucormycosis,"The risk factor for the formation of rhino-orbital- cerebral mucormycosis is diabetic ketoacidosis. Diabetics can also experience cutaneous mucormycosis, most commonly caused by skin trauma. Erythematous indurated plaques or bullae on the wound frequently lead to a necrotic ulcer in the form of eschar. Histologically, pseudohyphae and hyphae are seen along with rectangular arthroconidia, and blastoconidia."
Patient was admitted to the hospital because of bleeding duodenal ulcer. Culture at 37oC grew urease-positive curved bacteria. The most likely causative agent is:,A. Campylobacter jejuni,B. Streptococcus faecalis,C. Enterococcus,D. Pseudomonas aeruginosa,E. Helicobacter pylori,120.0,E. Helicobacter pylori,"The spiral shaped, microaerophilic helicobacter pylori (H. pylori) is a gram-negative bacterium with a length of about 3.5 microns and a width of 0.5 micron. The organism has two to seven unipolar sheathed fla - gella which enhances the mobility of the organism through viscous solutions. Diagnosis of H. pylori is based on biopsy, urease breath test, and stool antigen and serum antibody testing."
