index,id,Answer,explaination
149.0,Set_6: q2,A. Smooth muscle cells,"Atherosclerosis is a common cause of morbidity and mortality. Many interventions are done to treat athero - sclerosis such as balloon angioplasty (with or without stenting), endarterectomy or surgical bypass grafting. Occasionally, interventions fail from restenosis due to neointimal hyperplasia (NIH). Neointimal hyperplasia and vascular thrombosis are some of the common causes of A V graft or fistula failures."
150.0,Set_6: q3,B. Heart,"Atherosclerosis is caused by the deposition of choles - terol plaques in the intima of medium and large arteries. Atherosclerosis commonly affects arteries in the heart, brain, and kidneys. Commonly affected arteries are abdominal aorta, coronary artery and internal carotid artery. The common carotid arteries are often spared. The common risk factors of atherosclerosis include dys - lipoproteinemia, hypertension, smoking, diabetes, sed - entary lifestyle, and genetic abnormalities."
151.0,Set_6: q4,C. Atherosclerosis,"Abdominal aortic aneurysm (AAA) is the most com - mon form of aneurysm. It affects male smokers over the age of 50 years. The patients usually have atherosclero - sis. The common site of AAA is between the renal arter - ies and aortic bifurcation at the L4 level. It manifests as a palpable pulsating abdominal mass. The patients usu - ally present with sudden severe and constant low back, flank pain. Complications of AAA are rupture, obstruc - tion or compression of other structures. It can also results in release of emboli which can cause stroke and MI.  Imaging studies are recommended for the male smokers between 65 and 75 years old."
152.0,Set_6: q5,A. Hypertension,"Hypertension is a risk factor for several cardiovascu - lar diseases. Hypertension confirmation is obtained by blood pressure exceeding 140/90 mm Hg, confirmed at least on two occasions. Common risk factors include advanced age, obesity, physical inactivity, excess salt, alcohol consumption, smoking, and diabetes. Primary hypertension is the most common type of hypertension, comprising approximately 95% of the cases. Long-term hypertension causes left ventricular hypertrophy, heart failure and is also a risk factor of coronary artery dis - ease. Aortic dissection is commonly seen in patients with hypertension."
153.0,Set_6: q6,A. Necrotizing arteritis,"Polyarteritis nodosa (PAN) is a necrotizing, immune complex-mediated inflammation of small to medium arteries. It frequently causes destruction of the media and internal elastic lamina. It commonly affects middle- aged to older men. Polyarteritis Nodosa is seen in approximately 30% of patients infected with hepatitis B. The blood vessels most commonly affected are ves - sels of the mesentery, pancreas, and testes, but lesions may also occur in the hepatic, coronary, uterine, cere - bral, adrenal, and renal arteries. It does not involve the lung."
154.0,Set_6: q7,A. Post capillary venules,"The histopathology diagnosis given to the cutaneous small vessel vasculitis, especially a vasculitis of the der - mal postcapillary venules is also called leukocytoclastic vasculitis. Most cases are idiopathic. Leukocytoclastic vasculitis present with visible purpura on lower extremi - ties, small vessel involvement, and is extracutaneous in about 30% of cases."
155.0,Set_6: q8,C. Henoch-Schonlein purpura,"Henoch-Schonlein purpura is the most common childhood systemic vasculitis. It is an inflammatory dis - order secondary to IgA complex deposition affecting small vessels. It usually occurs after an upper respiratory infection in children. The triad of Henoch-Schonlein purpura is palpable purpura on the buttocks and legs, polyarthralgias, and colicky abdominal pain. Histologically, it involves IgA, C3, and immune com - plex deposition in arterioles, venules, and capillaries."
156.0,Set_6: q9,B. Vascular,"The tissue of the origin of Kaposi sarcoma is vascu - lar. Kaposi sarcoma is a low grade malignant tumor of endothelial cells caused by virus HHV8. It is multicen - tric vascular tumor. Grossly, there are multiple red- purple patches, plaques, or nodules. They may remain confined to the skin or may disseminate. Light micros - copy shows the proliferation of spindle-shaped endothe - lial cells that line blood and lymphatic vessels. It also shows extravasated RBCs."
157.0,Set_6: q10,B. Takayasu arteritis,"Takayasu arteritis (TAK) commonly affects the aorta and its primary branches. It commonly affects women in approximately 80–90% of cases. Patients usually pres - ent with constitutional symptoms (weight loss, fever, and fatigue), arthralgias. Other symptoms include limb claudication. GIT symptoms may include abdominal pain, diarrhea, and hemorrhage. Patients may also pres - ent with neurological symptoms (lightheadedness, ver - tigo, headaches, and convulsions). Physical examination may reveal arterial bruits, unequal blood pressures between extremities and diminished pulses. In severe cases, inflammation of vessels may cause ischemic changes leading to visual disturbances, chest pain or strokes. ESR and CRP are elevated. Imaging studies including arteriography and magnetic resonance angiog - raphy (MRA) are useful for establishing the diagnosis of TAK."
158.0,Set_6: q11,A. Giant cell arteritis,"Giant cell arteritis is a large vessel vasculitis. It is characterized by granulomatous inflammation of the internal elastic lamina. It may also involve any of the large branches of the carotid. Patients usually present with temporal headaches, tenderness, jaw claudication and visual changes (when the ophthalmic artery is involved). Approximately 50% of patients have symp - toms of polymyalgia rheumatica. The disease affects older individuals (rarely less than 50 years old). Laboratory findings show an elevated erythrocyte sedi - mentation rate (ESR more than 50 mm/h). Definitive diagnosis requires temporal artery biopsy. Light micros - copy shows epithelioid histiocytes, multinucleated giant cells, T lymphocytes, and macrophages. Fragmentation of elastic fibers in a vessel wall can be seen by elastic stain. Most dreaded complication of temporal arteries is loss of vision."
159.0,Set_6: q12,A. Wegener’s granulomatosis,"Wegener’s granulomatosis is a small vessel necrotiz - ing vasculitis. It usually involves the upper and lower respiratory tract with extravascular granulomatous inflammation, glomerulonephritis. Renal involvement is usually asymptomatic until advanced uremia develops. It affects patients of all ages and both sexes. Patients present with constitutional symptoms, chronic sinusitis, epistaxis, mucosal ulceration, and visual changes."
160.0,Set_6: q13,C. Thromboangiitis obliterans,"Thromboangiitis obliterans is a full thickness, seg - mental, thrombosing inflammation of small- to medium-  sized arteries, veins, nerves of the distal 6 Blood Vessels 43 extremities. It is commonly seen in young men who are heavy smokers. This thromboangiitis obliterans pres - ent with a triad of distal arterial occlusion, Raynaud phenomenon, and migrating superficial vein thrombo - phlebitis. Patients present with pain at rest. Gangrene occurs due to intermittent claudication. In extreme cases, autoamputation of digits may occur. Diagnosis is confirmed by arteriography. Arteriography may show stenotic corkscrew vessels. Tissue biopsy is the defini - tive diagnosis."
161.0,Set_6: q14,A. Pulmonary embolism,"Pulmonary embolism occurs when a blood clot from a systemic vein lodged one or more branches of pulmo - nary artery. Pulmonary embolism commonly arises from a deep vein thrombosis. It can also result from emboliza - tion of fat, air, bacteria, amniotic fluid, and tumor cells. Patients usually present with tachypnea, tachycardia, hypoxemia, sudden onset dyspnea with pleuritic chest pain. Bronchoconstriction can occur due to the release of inflammatory mediators. There is V/Q mismatch and hypoxemia. Hypotension, syncope, and shock can occur due to reduced output of the right ventricle. Pulmonary embolism is often missed clinically and seen in more than 60% of autopsies."
162.0,Set_6: q15,C. Omega-3 fatty acids,"Fatty acids omega-3 are commonly found in fish, flaxseeds, and fish oil. Vegetable oils including such as flaxseed, soybean, and canola contain alpha-linolenic acid. Patients with high triglycerides who cannot toler - ate statin fenofibrate, omega-3 ethyl esters are used in the treatment. Triglyceride levels are lowered by fibrates, omega-3 fatty acids derived from the marine and statins. Most sources of fish oil make up only 30–50% of omega-3 fatty acids. Omega-3 ethyl esters (for example, Lovaza and Omacor) contain about 85% of omega-3 fatty acids."
163.0,Set_6: q16,B. All of the above,Endothelial cells release VCAM-1. Vascular cell adhesion molecule 1 promotes adhesion and intimal migration of monocytes and T lymphocytes. Activated endothelial cells and leukocytes release growth factors that recruit and promote smooth muscle cell prolifera - tion and extracellular matrix elaboration. Calcification and peripheral neovascularization are frequent features of atheromatous plaques. All these factors are essential for the pathogenesis of atherogenesis.
164.0,Set_6: q17,C. C-reactive protein (CRP),"C-reactive protein is a non-specific marker of inflam - mation. Elevated C-reactive protein is an important pre - dictor of atherosclerosis in both sexes. In myocardial infarction, ischemic stroke, hypertension, and peripheral artery disease, CRP is an important predictor for an early diagnosis. C-reactive protein being an important bio -marker of inflammation is a known factor in the develop - ment of atherosclerosis."
165.0,Set_6: q18,B. Mycotic aneurysm,"Mycotic aneurysms usually occur due to bacterial infection involving the wall of the abdominal aorta. It is commonly seen in intracranial arteries. It can also occur in visceral arteries and upper or lower extremity arteries, usually at arterial bifurcations. An aneurysm can develop due to the destruction of the vessel wall by infection. It can also develop in preexisting aneurysm when second - arily infected. Common organisms causing infected aneurysm are salmonella species and staphylococcus species. Other organisms which can cause mycotic aneu - rysm due to infection include streptococcus pneumoniae, treponema pallidum, and mycobacterium tuberculosis. Common risk factors for infected aneurysm are trauma, endocarditis and advanced age. Patients usually present with painful, pulsatile, and enlarging mass along with fever and malaise. Imaging studies help in the diagnosis."
166.0,Set_6: q19,E. Raynaud’s phenomenon,"Raynaud’s phenomenon occurs when cold or stress exposure induces the vasoconstriction of digital arteries. This leads to white or blue coloration of fingers/toes. Raynaud’s phenomenon occurs in the absence of any underlying cause. It is usually found in women. Secondary Raynaud’s phenomenon is usually found in men associated with secondary systemic disorders, such as systemic lupus erythematosus or systemic sclerosis."
167.0,Set_6: q20,C. Coronary artery,"Kawasaki disease is a mucocutaneous disease. It is characterized by acute necrotizing inflammation of the small, medium and large arteries. It is commonly seen in children younger than 4 years. The most serious sequelae of Kawasaki disease includes coronary vessel involve - ment leading to aneurysms. Patients usually present with fever (present for at least 5 days), cervical lymphadeni - tis, and bilateral conjunctival injection. Other symptoms may include red, fissured lips, strawberry tongue. There 44 may be a maculopapular erythematous rash. Diagnosis is made clinically. Coronary angiogram is commonly performed to diagnose coronary artery aneurysm. Currently, Kawasaki disease is a leading cause of acquired cardiac disease in young children."
168.0,Set_6: q21,B. Deep vein thrombosis,"In deep vein thrombosis (DVT), blood clots most often occur in calf veins. DVT can also affect popliteal, femoral or iliac veins. Common risk factors include sta - sis of blood flow, vascular endothelium damage, and hypercoagulability (usually summarized in Virchow triad). Patients may be asymptomatic. They may present with calf or thigh discomfort, unilateral leg swelling, edema, warmth, and erythema. Physical examinations show tenderness on palpation over the veins. Homan’s sign (dorsiflexion of the foot producing calf pain) is often used as a test but it is not reliable. Laboratory find - ings show increase D-dimer (fibrin degradation prod - uct). It is sensitive, but not specific test. Lower extremity venous duplex ultrasonography is commonly used to assess blood flow within the vein. The gold standard test is angiography."
169.0,Set_7: q1,D. Libman–Sacks endocarditis,Libman–Sacks endocarditis (LSE) is seen in patients with lupus erythematosus. Vegetations cover both sides of valve surfaces causing fibrinoid necrosis and inflam - mation. These verrucous vegetations result in valvular dysfunction and embolization.
170.0,Set_7: q2,D. Pancarditis,"Rheumatic heart disease is an acquired heart disease in children and young adults. Acute rheumatic fever causes pancarditis. Pancarditis affects the valve leaflets, pericardium, epicardium, myocardium, and endocar - dium. The most common valve lesion is mitral regurgitation."
171.0,Set_7: q3,A. Aschoff body,Acute rheumatic fever is an immune-multisystem complication following group A streptococcal pharyngi - tis. The histologic hallmark of acute rheumatic carditis is the Aschoff body. Aschoff bodies are found in myocar - dium and consist of interstitial perivascular areas of fibrinoid necrosis surrounded by inflammatory infiltrate and Anitschkow cells. Anitschkow cells are histiocytes with a caterpillar pattern of nucleus and abundant cyto - plasm. Aschoff body is pathognomonic for acute rheu - matic fever. Rheumatic cardiac disease is a late complication of acute fever and occurs approximately after 10–20 years of acute rheumatic fever.
172.0,Set_7: q4,B. Fibrinous pericarditis,"There are four subtypes of pericarditis; serous, fibrin - ous, suppurative, and hemorrhagic. Fibrinous pericardi - tis patients present with chest pain and friction rub. Exudate in fibrinous pericarditis is usually fibrin-rich with plasma proteins. It is associated with rheumatic fever, myocardial infarction (Dressler syndrome), and uremia. Fibrinous pericarditis leads to scar formation and diastolic filling defects."
173.0,Set_7: q5,A. Hypertrophic cardiomyopathy (HCM),"Hypertrophic cardiomyopathy can be seen at any age but classically is seen in young healthy patients. HCM may be completely silent in some patients. Patients may present with symptoms of dyspnea or syncope. There may be a family history of HCM. Genetic defect is found in the beta-myosin heavy chain on chromosome 14. Septal hypertrophy is seen in about 90% of cases with a thick mitral valve. Left atrium is large with a small left ventricle. Echocardiography is a useful diagnostic tool. Echocardiography findings include mitral valve prolapse and regurgitation, left ventricular hypertrophy, left atrial enlargement, and small ventricular chamber size. It is inherited as an autosomal dominant. Histologically, myocytes are hypertrophied and disorganized. It is rec - ommended that first-degree relatives of an affected patient be screened for the disease."
174.0,Set_7: q6,B. Hypertension,Primary (essential) hypertension is diagnosed with BP > 140/90 mmHg on at least two occasions or a single reading of 170/110 mmHg. Hypertension is a risk for several cardiovascular diseases. Long-term hypertension causes left ventricular hypertrophy.
175.0,Set_7: q7,E. All of the above,"Tetralogy of Fallot is a common congenital cardiac defect. Tetralogy of Fallot leads to right-to-left shunts, causes cyanosis and reduction of PaO 2. There are four abnormalities in tetralogy of Fallot. They are overriding aorta and ventricular septal defect (VSD). Other two of the four abnormalities are pulmonic stenosis, right ven - tricular hypertrophy."
176.0,Set_7: q8,B. Rheumatic heart disease,"Gross evaluation of surgical specimens is crucial in the diagnosis of cardiac valvular disease. Commissural fusion is highly characteristic of rheumatic heart dis - ease. Many patients present with Rheumatic valve dis - ease with stenotic and regurgitant components due to commissural fusion, giving rise to a “fish mouth” appearance imparted by the pathologic process."
177.0,Set_7: q9,D. Familial hypercholesterolemia,Familial hypercholesterolemia results from a muta - tion in the gene encoding the LDL receptor gene (LDLR) found on chromosome 19. This causes a loss of the main mechanism by which cholesterol is removed from serum and loss of negative feedback normally exerted through LDL on the endogenous production of cholesterol. The net effect is hypercholesterolemia (type II hyperlipidemia). The diagnosis of LDL receptor defects is suspected in patients with tendonous xanthomas and a family history of premature coronary artery disease (CAD). Elevated levels of LDL cholesterol have a direct impact on the risk of CAD.
178.0,Set_7: q10,E. Marantic endocarditis,"Non-bacterial thrombotic endocarditis (NBTE) is commonly known as marantic endocarditis. Histologically, these lesions consist of fibrin, platelets and are composed of bland thrombi that are loosely attached to the underlying valve. The vegetations are free of inflammation. The vegetations rarely cause 7 The Heart 49 symptoms. Symptoms usually result from embolization to the brain, kidneys, and spleen. NBTE most commonly affects severe debilitated patients and its association with many types of cancer is well established. There is an association with mucinous adenocarcinomas, which is attributed to the procoagulant effects of tumor-derived Non-bacterial thrombotic endocarditis (NBTE) mucin or tissue factor."
179.0,Set_7: q11,A. Wavy myocyte fibers,Wavy pattern of myocytes is the earliest microscopic changes seen in myocardial infarction (MI). Sequence of changes in MI.
180.0,Set_7: q12,C. Pericarditis,"There are different subtypes of pericarditis. Serous pericarditis is found in systemic lupus erythematosus (SLE). Exudate of serous pericarditis is protein-rich, straw-colored with few inflammatory cells. Many patients present with dyspnea, fatigue, and hypotension. It may be an incidental finding during echocardiography or computed tomography of the chest. There are four subtypes of pericarditis; serous, fibrinous, suppurative, and hemorrhagic. Fibrinous pericarditis patients present with chest pain and friction rub. Exudate in fibrinous pericarditis is usually fibrin-rich with plasma proteins. It is associated with rheumatic fever, myocardial infarction (Dressler syndrome), and uremia. Fibrinous pericarditis leads to scar formation and diastolic filling defects."
181.0,Set_7: q13,C. 3–7 days post-MI,The rupture of the free wall of the ventricle is the most frequent 3–7 days after the onset of myocardial infarction.
182.0,Set_7: q14,A. Inflammatory infiltration and myocyte,"Necrosis Myocarditis is an inflammation of the heart muscle. Common causes include infections, toxins, autoimmune diseases, and drug reactions. The most common cause of myocarditis in developed countries is a viral infection. Viral infection could be due to coxsackie B virus, rubella virus, and cytomegalovirus. Worldwide, the most com - mon cause of myocarditis is Chagas disease (caused by Trypanosoma cruzi ). Patients may present with symp - toms of chest pain, congestive heart failure, dyspnea, and peripheral edema. ECG may show T wave inver - sions and ST segment elevation. To establish a definitive diagnosis of myocarditis, inflammatory infiltration must be present in association with myocyte necrosis."
183.0,Set_7: q15,D. Tuberous sclerosis,"Cardiac rhabdomyomas in newborns are fre - quently in association with the typical signs and symptoms of tuberous sclerosis, including cortical tubers, renal angiomyolipomas, and pulmonary ham - artomas. Rhabdomyoma is the most common primary tumor of the heart in children. Most cardiac rhabdo - myomas occur in the ventricular myocardium, and show a solid, tan, homogeneous cut surface. Spontaneous regression is common. However, larger tumors are associated with increased risk of arrhythmias."
184.0,Set_7: q16,D. Congestive heart failure,"Left-sided, cardiac dysfunction leads to pulmonary congestion. Patients present with orthopnea, paroxysmal nocturnal dyspnea, and orthopnea. Pulmonary conges - tion causes dilation of capillaries leading to the accumu - lation of blood in macrophages of alveolar spaces (hemosiderin-laden macrophages). RBCs breakdown appears as brown granules of hemosiderin and get accu - mulated in the cytoplasm of macrophages. Histologically, the findings are intra-alveolar hemosiderin laden macro - phages, cardiac myocyte hypertrophy, and alveolar edema. Hemosiderin-laden macrophages are called heart-failure cells."
185.0,Set_7: q17,D. Troponin I & T,Troponin I & T serum markers peak at 12–48 h after myocardial infarction. They remain elevated for 4–10 days. Sensitivity of troponin I & T is near 100% after myocardial infarction if serum sample is taken within 6–12 h. Troponin I & T are specific and sensitive mark - ers of myocardial infarction.
186.0,Set_7: q18,C. Mitral valve prolapse,"In Marfan syndrome, there is involvement of the pul - monary artery or the mitral and tricuspid valves (pro - lapse of the mitral valve). General dilation of the aorta (aortic valve incompetence), dissecting aneurysm also occurs in Marfan syndrome. Marfan syndrome is an autosomal dominant disorder with Fibrillin-1 defect. Mitral valve prolapse affects 55% of the adult popula - tion between ages 20 and 40. Mitral valve becomes floppy or incompetent."
187.0,Set_7: q19,A. Cardiac myxoma,"Myxoma is the most common tumor with unknown histogenesis. Majority of myxomas are located in the left atrium (75%). They are mostly sporadic. Some are associated with Carney’s complex/triad, familial myxo - matous syndrome or TS complex."
188.0,Set_7: q20,A. Ventricular septal defect,Most congenital heart anomalies that cause neonatal cyanosis are due to right-to-left shunting defects that causes deoxygenated blood to enter the systemic circu - lation. Ventricular septal defects along with atrial septal defects are left-to-right shunt and do not cause neonatal cyanosis.
189.0,Set_7: q21,A. Cardiac amyloidosis,"The image shows cardiac myofibrils surrounded by an amorphous eosinophilic extracellular material. Eosinophilic material is positive with Congo Red stain and polarized light, consistent with amyloid. Amyloidosis can be primary, secondary, hereditary, or age related. Primary form is related to plasma cell neoplasms, while secondary is due to inflammatory conditions. Hereditary forms are related to various gene mutations while senile forms can be localized or systemic. Cardiac amyloidosis restrictive features due to poor ventricular compliance. Grossly, the heart is enlarged with a rubbery or waxy myocardium."
190.0,Set_7: q22,C. Down syndrome,"Cardiac defects occur in almost one-half the patients (usually septal defects, e.g. arteriovenous canal) in Down syndrome (Trisomy 21 syndrome). It is a malfor - mation syndrome comprising mental retardation and very characteristic physical appearance."
191.0,Set_7: q23,D. Coarctation of the aorta,Berry aneurysms occur in coarctation of the aorta in about 10% of cases. Aneurysm size and risk of rupture increases with age. Cerebral aneurysms are congenital saccular lesions and are seen commonly in the circle of Willis. These lesions develop at congenital sites of weakness at the bifurcation of cerebral arteries. Uncontrolled hypertension promotes the growth of aneurysms which can lead to rupture causing subarach - noid hemorrhage. Patients usually present with the worst headache of life.
192.0,Set_7: q24,A. Dilated cardiomyopathy (DCM),"Dilated cardiomyopathy is the most common type of idiopathic cardiomyopathy. DCM affects younger patients. Patients usually present with symptoms of con - gestive heart failure or, occasionally, with sudden death. Echocardiography is the most reliable test to diagnose the DCM."
193.0,Set_7: q25,C. Myxoma,"Myxoma is the most common tumor of heart. Patients may present with one or more symptoms of myxoma triad which includes embolic phenomena, intracardiac flow obstruction, and constitutional symptoms. Myxomas are benign tumors. Complete resection is the treatment of choice."
194.0,Set_8: q1,D.  GPI (Glycosylphosphatidylinositol),"anchored proteins Paroxysmal nocturnal hemoglobinuria is a rare, acquired clonal hematologic disorder that arises from a mutation in the phosphatidylinositol glycan anchor bio - synthesis class A (PIGA) gene. There is decreased gly - cosylphosphatidylinositol (GPI)-linked proteins, especially decay accelerating factor (DAF). RBCs are subjected to increased sensitivity to lysis due to defi - ciency of membrane-bound GPI-anchored proteins. Patients present with pancytopenia (anemia, leukopenia, and thrombocytopenia). Symptoms are episodes of hemolysis which usually occur at night. Acidosis in vivo, which occurs in sleep causes activation of complement leading to episodes of hemolysis. There is episodic hemoglobinuria on awakening which can lead to iron deficiency. There is an increased risk of aplastic anemia, leukemia, and venous thrombosis. Flow cytometry is used to detect lack of CD55 decay-accelerating factor (DAF) on blood cells."
195.0,Set_8: q2,A. Antiplatelet antibodiesIdiopathic thrombocytopenic purpura is an acquired,"thrombocytopenia caused by antiplatelet antibodies. Thrombocytopenia is present with normal or increased megakaryocytes. Antiplatelet antibodies attach to plate - lets (anti-GpIIb/IIIa antibodies) and lead to removal by splenic macrophages. Patients present with fatigue, cuta - neous petechiae, and bleeding. Severe bleeding occurs when platelet counts are below 20,000/microL. In adults, ITP is a chronic autoimmune condition and occurs more often in females. In children it is an acute, self-limited reaction to viral infection."
196.0,Set_8: q3,A. Rouleaux formation,"The diagnosis of multiple myeloma is confirmed by the presence of numerous plasma cells in bone marrow. The malignant plasma cells resemble blasts and may contain large globular inclusions. The plasma cells have clock-face chromatin, eccentric nuclei, and perinuclear hofs. Red blood cells in multiple myeloma show rou - leaux formation. Rouleaux formation occurs due to excess immunoglobulin serum, which disrupts the nor - mal repellent force between the red cells leading to pil - ing up of red blood cells like stacks of coins."
197.0,Set_8: q4,"E.  Platelet count of >450,000/ μL (>450 ×","109/L) Essential thrombocythemia is neoplastic prolifera - tion of myeloid stem cells, which lead to increased megakaryocytes in bone marrow. There is an increased number of platelets in the peripheral blood smear. In thrombocytosis, platelets count is more than 450,000/ μL (>450 × 109/L). Patients may pres - ent with excessive bleeding. Thrombocytosis could be due to reactive processes or autonomous pro - cesses. Some causes of reactive processes are iron deficiency/blood loss and post-splenectomy. Autonomous processes may include myeloprolifera - tive neoplasms, hematologic malignancies, and familial thrombocytosis."
198.0,Set_8: q5,A. Asplenia (surgical or functional),Howell–Jolly bodies are remnants of nuclear chroma - tin. They are founds in patients who had undergone sple - nectomy. Howell–Jolly bodies may also be seen in sickle cell disease patients who have functional asplenia.
199.0,Set_8: q6,A. Factor XII,"Coagulation factor XII, also called Hageman factor, is a plasma protein. It is the zymogen of a serine protease that begins the contact activation reactions and intrinsic blood coagulation in vitro. Factor XII deficiency causes an isolated increase in partial thromboplastin time (PTT) without any bleeding symptoms. The 50:50 PTT mix corrects, ruling out an inhibitor. Factor VIII, IX, and XI deficiencies also cause an isolated elevation in the PTT, but the patients usually present with a history of bleeding."
200.0,Set_8: q7,B. Acute promyelocytic leukemia,"Acute myeloid leukemia is an acquired genetic muta - tion in stem cells lead to the proliferation of undifferenti - ated myeloid blasts. Acute promyelocytic leukemia is a type of acute myeloid leukemia. It results from a translo - cation due to a rearrangement of genetic material result - ing in the formation of chromosome t(15;17) (q24.1;q21.2). Patients usually present with weakness, fatigue, hemorrhage and frequent infections. The diag - nosis of APL is confirmed by the identification of the PML-RARA fusion gene."
201.0,Set_8: q8,C. Myelophthisic anemia,"Myelophthisic anemia is a type of marrow failure caused by a destructive marrow lesion that disturbs nor - mal hematopoiesis, such as metastatic disease. Peripheral blood smears of myelophthisic anemia is characterized by nucleated red cells, dacrocytes and immature granu - locytes. Myelophthisic anemia occurs because fibrosis and crowding out of the normal bone marrow due to infiltration by abnormal cells such as metastatic cancers or hematologic malignancy."
202.0,Set_8: q9,C. Aplastic anemia,"Aplastic anemia is a type of pancytopenia character - ized by severe anemia, neutropenia, and thrombocytopenia. It affects men and women equally. Failure or destruction of multipotent myeloid stem cells causes inadequate production of different cell lines. It may be idiopathic (immune-mediated). Other causes of aplastic anemia include radiation, drugs (Chloramphenicol, sulfonamides), viral agents (parvovi - rus B19, Epstein–Barr virus). Patients present with fatigue, malaise, pallor. Other clinical manifestations include purpura, mucosal bleeding, petechiae, and infec - tion. Laboratory findings show pancytopenia. Bone mar - row is hypercellular with decreased megakaryocytes and fatty infiltration."
203.0,Set_8: q10,A. β Thalassemia major,"β Thalassemia is mainly due to a point mutation, which form either some β chains ( β+). β Thalassemia 60 major lacks HbA and is characterized by alpha-chain aggregation. Aggregation causes decrease in the life span of red blood cells. Apoptotic death of red blood cells precursors occurs resulting in ineffective erythro - poiesis. Laboratory findings show elevation in fetal hemoglobin. Patients are usually normal at birth and symptoms develop at about 6 months when fetal hemo - globin starts declining. Hemoglobin electrophoresis shows increasing fetal hemoglobin (90%), an increase in hemoglobin A2 and decrease in hemoglobin A."
204.0,Set_8: q11,A. t(4;11)(q21;q23),"Translocation t(4;11)(q21;q23) is found in approxi - mately 10% of acute lymphoblastic leukemia (ALL) in adult patients. Patients that demonstrate this chromo - somal aberration have standard biological, immunophe - notypic, and clinical characteristics. Translocation t(4;11) is a poor prognostic indicator. It shows violent behavior, hyperleukocytosis, organomegaly, and CNS involvement."
205.0,Set_8: q12,A. Megaloblastic anemia,"Megaloblastic anemia is due to a deficiency in vita - min B12 or folate (coenzymes in DNA synthesis). This leads to delayed DNA replication. Patients usually pres - ent with anemia, and glossitis. Subacute combined degeneration occurs due to impaired myelination. Megaloblasts in bone marrow form macro-ovalocytes on peripheral blood. The giant metamyelocytes are found in bone marrow. White blood cells show hypersegmented neutrophils (>5 lobes) in peripheral blood."
206.0,Set_8: q13,D. Thrombotic thrombocytopenic purpura,"Thrombotic thrombocytopenic purpura is commonly associated with a lack of metalloproteinase enzyme (ADAMTS13). This enzyme normally degrades von Willebrand factor (vWF). The multimeric form of vWF causes platelet aggregation. This usually leads to pentad of microangiopathic hemolytic anemia, thrombocytope - nia, renal failure, fever, and neurologic deficits. It is commonly seen in adult females."
207.0,Set_8: q14,C. Multiple MyelomaMultiple myeloma is a neoplastic proliferation that,"leads to clonal expansion of plasma cells. Characteristic presentation includes punched out bone lesions, hyper - calcemia, myeloma kidney, marrow failure, frequent infection. Prognosis of multiple myeloma is poor and depends on the extent of disease."
208.0,Set_8: q15,E. Microangiopathic hemolytic anemia,Schistocytes (fragmented red blood cells) in periph - eral blood cells smear is commonly found in microan - giopathic hemolytic anemia (MAHA). Microangiopathic hemolytic anemia is a term used for nonimmune hemo - lytic anemia.
209.0,Set_8: q16,B. Iron,Pappenheimer bodies are dark blue granules found in red blood cells in sideroblastic anemia. The pappen - heimer bodies are composed of iron. The red blood cells are usually hypochromic and show basophilic stippling that stains positive for iron.
210.0,Set_8: q17,A. Lead poisoning,"Basophilic stippling is the presence of blue granules of different sizes found in the cytoplasm of the red blood cells. Basophilic stippling represent ribosomal precipi - tates. Common causes are lead poisoning, thalassemias, alcohol abuse, and heavy metal poisoning."
211.0,Set_8: q18,A. G6PD deficiency,"Bite cells are commonly found in G6PD deficiency. Intravascular hemolysis and splenic destruction occur following infection, or exposure to certain foods such as fava beans. Hemoglobin with an abnormal structure is removed by splenic macrophages causing bite cells."
212.0,Set_8: q19,B. V on Willebrand disease,"A common inherited bleeding condition is Willebrand's disease (VWD). There are three types of VWD.  Type 3 is due to absent or severely reduced vWF. There is a deficiency of vWF, which normally car - ries and stabilizes factor VIII. Patients present with mild mucosal skin bleeding. Patients usually have increased activated partial thromboplastin time (aPTT). Bleeding time is also increased."
213.0,Set_8: q20,D. Sickle cell anemia,"In sickle cell disease, there is a single nucleotide change in codon causing valine to replace normal glu -tamic acid at the sixth position of the Beta-globin chain. Peripheral blood smear shows multiple sickle cells. Howell–Jolly bodies and target cells may also be seen in peripheral blood smears. Common complications of sickle cell disease include infections, severe anemia, and vaso-occlusive phenomena."
214.0,Set_8: q21,A. Vitamin K,"Prothrombin (factor II) and factors VII, IX, and X as well as proteins C and S are factors which require Gla for their function. Gla is an amino acid which gives the vitamin K-dependent proteins metal-binding properties. These proteins undergo a structural transformation with the addition of calcium ions which results in the expo - sure of a phospholipid binding site. As an enzyme cofac - tor, the requirement for vitamin K is unique to vitamin K-dependent gamma-glutamyl carboxylase and gamma- carboxyglutamic acid (Gla) biosynthesis. The vitamin K-dependent carboxylase is an integral membrane pro - tein which requires carbon dioxide, molecular oxygen, and vitamin K of the hydroquinone to convert residues of glutamic acid (Glu) to Gla."
215.0,Set_8: q22,D. V on Willebrand factor activity is higher in,"newborns than adults Newborns have higher vWF compared to adults. vWF is a glycoprotein present in endothelial cells, endo - thelial tissue and megakaryocytes. vWF binds exposed collagen and platelets at sites of injury."
