id,Question,A,B,C,D,E,F
Set_7: q7,Tetralogy of Fallot is defined as:,A. Right ventricular hypertrophy,B. Ventricular septal defect,C. Pulmonary stenosis,D. An aorta that overrides the ventricular septal defect,E. All of the above,
Set_7: q8,A surgically resected mitral valve has a “fish-mouth” shape due to commissural fusion. These changes are most likely the result of:,A. Infective endocarditis,B. Rheumatic heart disease,C. Left ventricular enlargement,D. Myxomatous degeneration,E. Papillary muscle rupture,
Set_7: q9,A 22-year-old man who has multiple cutaneous xantho - mas presents to a local emergency room complaining an acute onset of chest pain while jogging. There is a family history of myocardial infarction in his 26-year-old brother and his father at young age. An EKG is done which shows ST elevation in the left precordial leads. Laboratory studies show elevated Troponin I.  Patient dies due to ventricular fibrillation. Which of the follow - ing risk factors is most likely responsible for this man’s cardiac disease?,A. Niemann–Pick disease,B. Glycogen storage disease type 1,C. Gaucher’s disease,D. Familial hypercholesterolemia,E. Tay–Sachs disease,
Set_7: q10, A 59-year-old woman has metastatic breast carcinoma. Which of the following condition is well described phe - nomenon associated with malignancies?,A. Calcific valvular disease,B. Antiphospholipid syndrome,C. Acute infectious endocarditis,D. Atrial myxoma,E. Marantic endocarditis,
Set_7: q11, What is the earliest microscopic sequence of changes in the heart after myocardial infarction?,A. Wavy myocyte fibers,B. Coagulative necrosis,C. Neutrophilic infiltrate,D. Macrophages,E. Granulation tissue,
Set_7: q12, What is the most common cardiovascular manifestation associated with systemic lupus erythematosus?,A. Myocarditis,B. Cardiomyopathy,C. Pericarditis,D. Pancreatitis,E. Pulmonary hypertension,
Set_7: q13, Rupture of the free wall of the ventricle is most common within how many days postmyocardial infarction?,A. 48 h post-MI,B. 24 h post-MI,C. 3–7 days post-MI,D. 2 weeks post-MI,E. 3 weeks post-MI,
Set_7: q14," In order to make a morphologic diagnosis of definite myocarditis, which of the following changes are required?",A. Inflammatory infiltration and myocyte necrosis,B. Eosinophilic infiltration,C. Giant cells,D. Inflammatory infiltration,E. Inflammatory infiltration and fibrosis,
Set_7: q15, Which of the following is associated with cardiac rhabdomyoma?,A. Hibernoma,B. Reticulohistiocytoma,C. Myxoma,D. Tuberous sclerosis,E. Hemangiomas,
Set_7: q16, Microscopic findings intra-alveolar hemosiderin-laden macrophages are suggestive of:,A. Acute respiratory distress syndrome,B. Bacterial pneumonia,C. Cardiogenic pulmonary edema,D. Congestive heart failure,E. Serous pericarditis,
Set_7: q17, Which of the following serum marker is used to diag - nose myocardial infarction in 3–6 h?,A. CK-MB,B. LDH,C. Alanine aminotransferase (ALT),D. Troponin I & T,E. Aspartate aminotransferase (AST),
Set_7: q18, Which of the following is associated with Marfan’s syndrome?7 The Heart 47,A. Mitral regurgitation,B. Pulmonary regurgitation,C. Mitral valve prolapse,D. Pulmonic stenosis,E. Tricuspid valve atresia,
Set_7: q19, Microscopic findings of amorphous extracellular matrix with scattered stellate or globular myxoma cells within abundant mucopolysaccharide ground substances are characteristic of which cardiac tumor?,A. Cardiac myxoma,B. Cardiac rhabdomyoma,C. Lipoma,D. Primary malignant cardiac tumor,E. Carcinoid tumor,
Set_7: q20, The congenital heart anomaly that is least likely to cause neonatal cyanosis is:,A. Ventricular septal defect,B. Tricuspid atresia,C. Tetralogy of fallot,D. Transposition of great vessels,E. Truncus arteriosus,
Set_7: q21, What is the diagnosis regarding the disease process seen in this heart microscopic section?,A. Cardiac amyloidosis,B. Hypertensive heart disease,C. Hypertrophic cardiomyopathy,D. Glycogen storage disease,E. Fabry disease,
Set_7: q22," A complete atrioventricular (A V) canal defect is com - prised of an atrial septal defect, a ventricular septal defect, and a common A/V valve. This congenital car - diac anomaly is associated with which of the following medical conditions?",A. Zellweger syndrome,B. Trisomy 18,C. Down syndrome,D. Congenital hypothyroidism,E. DiGeorge syndrome,
Set_7: q23, A 33-year-old male is brought dead to the emergency department. Autopsy shows a ruptured cerebral aneu -rysm with extensive intracranial hemorrhage. Which of the following disease is associated with this patient’s condition?,A. Patent ductus arteriosus,B. Transposition of the great arteries,C. Atrial septal defect,D. Coarctation of the aorta,E. Bicuspid aortic valve,
Set_7: q24, A 27-year-old male patient is brought by his friends to the emergency room with severe shortness of breath. The patient dies suddenly. Troponin and CK-MB were elevated. What is the diagnosis?,A. Dilated cardiomyopathy (DCM),B. Hypertrophic cardiomyopathy,C. Restrictive cardiomyopathy,D. Acute coronary syndrome,E. Cardiac tamponade,
Set_7: q25, A 51-year-old male patient with about 2 years of dys - pnea on exertion dies in a motor vehicle accident. Autopsy shows 5 cm atrial mass. What is the diagnosis?,A. Angioma,B. Rhabdomyosarcoma,C. Myxoma,D. Liposarcoma,E. Teratoma,
Set_8: q1,Paroxysmal nocturnal hemoglobinuria (PNH) is associ - ated with deficiency of:,A. MIRL (Membrane inhibitor of reactive lysis),B. DAF (Decay accelerating factor),C. LFA-1 (Lymphocyte function-associated antigen 1),D. GPI (Glycosylphosphatidylinositol) anchored proteins,E. LFA-3 (Lymphocyte function-associated antigen 3),
Set_8: q2,"A 20-year-old female comes to the physician office with symptoms of increased menstrual flow and easy bruis - ing. Laboratory investigations show platelet count of 26,000/mm3. A diagnosis of idiopathic thrombocytope - nic purpura (ITP) is made. Which of the following is responsible for low platelet count in ITP?",A. Antiplatelet antibodies,B. Defective platelet aggregation,C. Hypersplenism,D. Ineffective megakaryopoiesis,E. Mechanical trauma,
Set_8: q3,A 70-year-old male presents with bone pain in the back and renal failure. Bone marrow aspirate shows abnormal blasts. Which finding is expected in the red blood cells of the peripheral blood smear?,A. Rouleaux formation,B. Schistocytes,C. Teardrop-shaped red cells,D. Dacrocytes,E. Bite cells,
Set_8: q4,Thrombocytosis refers to an increased platelet count. Which of the following is correct statement regarding thrombocytosis?,"A. Platelet count of >200,000/ μL (>200 × 109/L)","B. Platelet count of >250,000/ μL (>250 × 109/L)","C. Platelet count of >350,000/ μL (>350 × 109/L)","D. Platelet count of >325,000/ μL (>325 × 109/L)","E. Platelet count of >450,000/ μL (>450 × 109/L)",
Set_8: q5,Howell–Jolly bodies are a cytopathological findings of basophilic nuclear remnants (clusters of DNA) in circu - lating erythrocytes. Howell–Jolly bodies are found in which of the following condition?,A. Asplenia (surgical or functional),B. Iron deficiency anemia,C. β-Thalassemia minor,D. Glucose-6-phosphate dehydrogenase deficiency,E. Megaloblastic anemia,
Set_8: q6,"A 29-year-old female is scheduled for elective surgery. Screening tests for bleeding disorder are done. Prothrombin time (PT) = 13.7 s, Partial thromboplastin time (PTT) = 100 s, PTT (50:50 MIX) = 29.3 s, PTT (50:50 MIX-1 h) = 28.6 s. Which of the following factor is likely to be deficient?",A. Factor XII,B. Factor XI,C. Factor VIII,D. Factor IX,E. Factor X,
Set_8: q7,The cytogenetic defect t(15;17) is associated with which of the following leukemia?,A. Chronic myeloid leukemia,B. Acute promyelocytic leukemia,C. Acute lymphoblastic leukemia,D. Chronic lymphocytic leukemia,E. Acute monocytic leukemia,
Set_8: q8,"A 59-year-old female with breast cancer presents with fatigue. Complete blood count shows pancytopenia. Peripheral blood smear shows nucleated red cells, dac - rocytes, and immature granulocytes but no blasts. What is the diagnosis?  54",A. Acute myeloid leukemia,B. Myelodysplastic syndrome,C. Myelophthisic anemia,D. Chronic lymphocytic leukemia,E. Chronic myeloid leukemia.,
Set_8: q9,"Laboratory findings of anemia, thrombocytopenia, and leukopenia are characteristic of which of the following type of anemia?",A. Megaloblastic anemia,B. Iron deficiency anemia,C. Aplastic anemia,D. Sickle cell anemia.,E. β Thalassemia,
Set_8: q10, Ineffective erythropoiesis is characteristic of which one of the following conditions?,A. β Thalassemia major,B. Iron deficiency anemia.,C. Aplastic anemia,D. Sickle cell anemia.,E. Glucose-6-Phosphate Dehydrogenase (G6PD) Deficiency.,
Set_8: q11, Which of the following is a poor prognostic indicator in acute lymphoblastic leukemia (ALL)?,A. t(4;11)(q21;q23),B. t(1;19)(q23;p13),C. t(5;14)(q31.1;q32.1),D. t(12;21)(p13.2;q22.1),E. t(v;11)(q23.3),
Set_8: q12, Macro-ovalocytes and hypersegmented neutrophils are seen in which of the following type of anemia?,A. Megaloblastic anemia.,B. Aplastic anemia,C. Iron deficiency anemia,D. Hereditary spherocytosis,E. Autoimmune hemolytic anemia,
Set_8: q13," Classical pentad of transient neurologic problems, fever, thrombocytopenia, microangiopathic hemolytic anemia, and acute renal failure are found in which of the follow - ing condition?",A. Idiopathic thrombotic thrombocytopenic purpura,B. Paroxysmal nocturnal hemoglobinuria,C. Hemolytic-uremic syndrome,D. Thrombotic thrombocytopenic purpura,E. Disseminated intravascular coagulation,
Set_8: q14, Bone marrow biopsy of a 72-year-old man is shown below. What is the diagnosis?,A. Primary (Malignant) lymphoma of bone,B. Metastatic bone disease,C. Multiple myeloma,D. Monoclonal gammopathies of undetermined signifi - cance (MGUS),E. Waldenstrom macroglobulinemia,
Set_8: q15, Schistocytes (fragmented red cells) in peripheral blood smear are characteristics of which of the following anemia?,A. Iron deficiency anemia,B. Anemia of chronic disease,C. Aplastic anemia,D. Sideroblastic anemia,E. Microangiopathic hemolytic anemia,
Set_8: q16, Pappenheimer bodies are composed of:,A. Copper,B. Iron,C. Zinc,D. Manganese,E. Silicates,
Set_8: q17, Basophilic stippling of red cells is found in which of the following condition?,A. Lead poisoning,B. Hemophilia,C. Paroxysmal nocturnal hemoglobinuria,D. Hemoglobin C disease,E. G6PD deficiency,
Set_8: q18, Abnormal shaped red blood cells are found in different medical conditions. Bite cells are characteristic of which of the following condition?,A. G6PD deficiency8 Hematopathology of Red Blood Cells and White Blood Cells 55,B. Thalassemia,C. Hereditary spherocytosis,D. Sideroblastic anemia,E. Anemia of chronic disease,
Set_8: q19," An 8-year-old girl is brought to the emergency by her mother with symptoms of nose bleed and hematomas. Laboratory investigations show prolonged bleeding time, normal prothrombin time, and prolonged partial thromboplastin time. What is the diagnosis?",A. Immune thrombocytopenic purpura,B. V on Willebrand disease,C. Hemophilia A,D. Hemophilia B,E. Disseminated intravascular coagulopathy,
Set_8: q20, Peripheral blood smear of a male patient is shown below. What is the diagnosis?,A. Anemia of chronic disease,B. Megaloblastic anemia,C. Sideroblastic anemia,D. Sickle cell anemia,E. Iron deficiency anemia,
Set_8: q21," Which of the following vitamins is an essential cofactor for gamma-glutamyl carboxylase, an enzyme that car - boxylates coagulation factors II, VII, IX, and X?",A. Vitamin K,B. Vitamin A,C. Vitamin D,D. Vitamin B-12,E. Thiamine (Vitamin B1),
Set_8: q22, Which of the following statements about V on Willebrand factor (vWF) is correct?,A. V on Willebrand factor activity is higher in adults than newborns,B. Patients with blood group O have the highest mean vWF levels,C. V on Willebrand factor activity is equal in adults and newborns,D. V on Willebrand factor activity is higher in newborns than adults,E. V on Willebrand factor is only synthesized by endo - thelial cells,
Set_8: q23," An 80-year-old male patients present with fatigue, mal - aise, and anemia. Peripheral blood smear shows increased number of normal-appearing lymphocytes. What is the diagnosis?",A. Chronic myelogenous leukemia,B. Polycythemia vera,C. Acute myelogenous leukemia,D. Chronic lymphocytic leukemia,E. Myelofibrosis with myeloid metaplasia,
Set_8: q24, Microscopic picture is shown below. What is the diagnosis?,A. Langerhans cell,B. Giant cells,C. Macrophage,D. Megaloblastosis,E. Emperipolesis,
Set_8: q25, Which of the following test is the best indicator of response to therapy on patients being treated for throm - botic thrombocytopenic purpura (TTP)?,A. Prothrombin time,B. Fibrinogen levels,C. Platelet count,D. Activated partial thromboplastin time,E. LDH level,
Set_8: q26," A 47-year-old male presents with fatigue, dyspnea and easy bruisability. Echocardiogram shows reduced left ventricular ejection. Endomyocardial biopsy is done which shows amyloid deposition. PT and aPTT values are increased. What is the diagnosis?",A. Factor V deficiency,B. Factor II deficiencyMultiple Choice Questions 56,C. Factor X deficiency,D. Factor XII deficiency,E. Factor VIII deficiency,
Set_8: q27, Which of the following is an indicator of good prognosis for pre-B Childhood ALL?,A. Age of diagnosis,B. Hypodiploidy,C. Hyperdiploidy,D. WBC count,"E. (1, 19) translocation",
Set_8: q28," Platelets are tiny, disc-shaped pieces of cells that are found in the blood. Platelets are stored at:",A. 20–24 °C,B. 4 °C,C. −20 °C,D. 0 °C,E. 8 °C,
Set_8: q29, Which antibody is commonly elevated in Waldenstrom macroglobulinemia?,A. IgG,B. IgA,C. IgM,D. IgD,E. IgE,
Set_8: q30, Prothrombin time (PT) is a blood test that measures the time it takes for the liquid portion (plasma) of blood to clot. Prolonged prothrombin time is seen in:,A. Hemophilia A,B. Hemophilia B,C. Thrombocytopenia,D. Factor VII deficiency,E. Factor XIII deficiency,
Set_8: q31, Red blood cells are prepared from whole blood by removing the plasma. Shelf life of whole blood is:,A. 35 days,B. 120 days,C. 7 days,D. 85 days,E. 100 days,
Set_8: q32," A 15-year-old male presents with fever, sore throat, and enlarged cervical lymph nodes. CBC shows total WBC of 22,000. Peripheral blood smear shows atypical lympho - cytes. Monospot test is positive. What is the diagnosis?",A. Infectious mononucleosis,B. Acute mumps,C. Diphtheria,D. Scarlet fever,E. Toxoplasmosis,
Set_8: q33, Cabot’s ring in RBCs is seen in:,A. Acquired hemolytic anemia,B. Hemochromatosis,C. Thalassemia,D. After splenectomy,E. Iron deficiency anemia,
Set_8: q34, Deficiency of which of the following causes hereditary spherocytosis?,A. Actin,B. Glycoprotein,C. Ankyrin,D. Band 4,E. G-6PD deficiency,
Set_8: q35," A 37-year-old male presents with severe fatigue, fre - quent nose bleeds, and gingival masses. The abnormal cells seen in the blood smear show tissue paper nuclei. What is the diagnosis?",A. Acute myelogenous leukemia,B. Acute monocytic leukemia,C. Chronic lymphocytic leukemia,D. Acute lymphocytic leukemia,E. Acute myelomonocytic leukemia,
Set_8: q36, Which of the following is a marker of B or T cell acute lymphoblastic leukemia?,A. CD138 positivity,B. CD33 positivity,C. CD52 positivity,D. TdT positivity,E. CD10 positivity,
Set_8: q37, Reticulocytes are stained by:,A. Wright stain,B. Brilliant cresyl blue,C. Alcian blue,D. Giemsa stain,E. Trichrome stain,
Set_8: q38, Which of the following findings will be found in iron deficiency anemia?,"A. Decreased MCV , increased RDW","B. Increased MCV , increased RDW","C. Normal MCV , Increased RDW","D. Decreased MCV , decreased RDW","E. Normal MCV , normal RDW",
Set_8: q39, Most sensitive test for disseminated intravascular coagu - lation (DIC) is:,A. Platelet count,B. D-Dimer,C. Fibrinogen Degradation Products (FDP),D. PT,E. Bleeding time,
Set_8: q40, PAS-positive coarse granules are found in which kind of leukemia?,A. Acute lymphoblastic leukemia,B. Acute myeloblastic leukemia,C. Acute promyelocytic leukemia,D. Chronic lymphocytic leukemia,E. Chronic myeloid leukemia8 Hematopathology of Red Blood Cells and White Blood Cells 57,
Set_8: q41, Which of the following cytochemical stains differentiate acute myeloid leukemia (AML) from Acute lympho - blastic leukemia (ALL)?,A. Acid phosphatase,B. Nonspecific esterase,C. Myeloperoxidase,D. Toluidine blue,E. Giemsa stain,
Set_8: q42," A 9-year-old male child comes to the pediatrician office with symptoms of fatigue, weakness, infections, nose bleed, and gingival bleeding. Laboratory investigations show hemoglobin of 5.5 g/dL. Flow cytometry reveals biphenotypic patterns of antigen expressions. There is strong expression of CD19 and Myeloperoxidase (MPO) + ve. What is the diagnosis?",A. Acute lymphoblastic leukemia,B. Acute myeloid leukemia,C. Undifferentiated leukemia,D. Mixed phenotype acute leukemia,E. Chronic myelogenous leukemia,
Set_8: q43," A 49-year-old female presents with fever, fatigue, and a dragging sensation in her upper left quadrant. Complete blood count shows low hemoglobin and elevated white blood cells count. Bone marrow aspirates shows imma - ture cells, segmented neutrophils, and basophils. What is the diagnosis?",A. Acute lymphoblastic leukemia,B. Acute myeloid leukemia,C. Myelodysplastic syndrome,D. Chronic myeloid leukemia,E. Chronic lymphocytic leukemia,
Set_8: q44, Macrocytosis of red blood cells are seen in:,A. Folate deficiency,B. Myelodysplasia,C. Alcoholism,D. Vitamin B12,E. All of the above,
Set_8: q45," A 72-year-old patient comes to the physician office with complaints of fatigue and low energy. Detailed  laboratory and imaging investigations were done. Serum M-protein shows <3 g/dL. Bone marrow shows plasma cells <10 percent. There are no lytic lesions, anemia, hypercalce - mia, and renal insufficiency. What is the diagnosis?",A. Multiple myeloma,B. Reactive systemic amyloidosis,C. Non-Hodgkin lymphoma,D. Monoclonal gammopathy of undetermined signifi - cance (MGUS),E. Waldenstrom macroglobulinemia,
Set_8: q46, Peripheral blood smear of a 54-year-old patient is shown below. What is the diagnosis?,A. Hairy cell leukemia,B. Chronic lymphocytic leukemia,C. Myelodysplastic syndrome,D. Myelophthisic anemia,E. Primary myelofibrosis,
Set_8: q47, Bence Jones proteins in the urine are found in which of the following condition?,A. Multiple myeloma,B. Waldenstrom macroglobulinemia,C. Mantle cell lymphoma,D. Acute lymphoblastic lymphoma,E. Chronic lymphocytic leukemia,
Set_8: q48," A 60-year-old man presents with pancytopenia, a mark - edly enlarged spleen and extramedullary hematopoiesis. He is found to have a JAK-2 mutation. What is the diagnosis?",A. Myelodysplastic syndrome,B. Chronic myeloid leukemia,C. Hairy cell leukemia,D. Chronic myelofibrosis,E. Acute myeloid leukemia,
Set_8: q49, The combination of erythrocytosis leukocytosis and thrombocytosis along with splenomegaly is highly char - acteristic of which of the following condition?,A. Essential thrombocytosis,B. Chronic myelogenous leukemia,C. Primary myelofibrosis,D. Acute lymphoblastic leukemia,E. Polycythemia vera,
Set_8: q50," Cytopenias (anemia, neutropenia, thrombocytopenia) and morphological evidence of significant dysplasia in all the cell lines (erythroid, myeloid, and megakaryo - cytes) are characteristics of which of the following condition?Multiple Choice Questions 58",A. Myelodysplastic syndrome,B. Acute myelogenous leukemia,C. Polycythemia vera,D. Essential thrombocythemia,E. Chronic myelogenous leukemia,
Set_8: q51, Which of the following lab finding would support a diagnosis of anemia of chronic disease (ACD)?,A. Normal serum iron,B. Low serum transferrin,C. Elevated serum ferritin,D. Elevated hemoglobin A2,E. Normal erythrocyte sedimentation rate,
Set_8: q52, A 39-year-old female patient present with intractable nose bleeds. Complete blood counts show low hemoglobin and elevate in the white blood cells count (122 × 109/L). Some of the abnormal cells show thin linear structures either side of the nucleus. What is the diagnosis?,A. Acute myeloblastic leukemia without maturation (AML-M1),B. Acute monoblastic and monocytic leukemia,C. Acute myelomonocytic leukemia,D. Acute lymphoblastic leukemia,E. Acute megakaryoblastic leukemia (AML-M7),
Set_8: q53, Bone marrow aspirate of a patient shows several blasts stained with PAS. What is the diagnosis?,A. Acute lymphoblastic leukemia (ALL),B. Acute myeloid leukemia (AML),C. Acute erythroid leukemia,D. Myelodysplastic syndrome,E. Pernicious anemia,
Set_9: q1,Superior vena cava (SVC) syndrome is a collection of clinical signs and symptoms resulting from either partial or complete obstruction of blood flow through the SV,C. What is the commonest cause of superior vena cava (SVC) obstruction?,A. Fibrosis of superior vena cava,B. Bronchogenic carcinoma,C. Pericardial fibrosis,D. Hepatocellular carcinoma,E. Bronchiectasis
Set_9: q2,Which of the following is the underlying lesion of the acute respiratory distress syndrome?,A. Organizing pneumonia,B. Bronchiolitis,C. Diffuse alveolar damage,D. Usual interstitial pneumonitis,E. Bronchopneumonia,
Set_9: q3,"A 2-year-old male child is brought to the pediatrician office by his mother with symptoms of fever, shortness of breath, and rapid breathing. X-ray of the chest is done which shows patchy appearance with peribronchial thick - ening and poorly defined air space opacities. What is the diagnosis?",A. Atypical pneumonia,B. Tuberculosis,C. Bronchopneumonia,D. Atelectasis,E. Lobar pneumonia,
Set_9: q4,"A 40-year-old male patient has clinical presentation fevers, night sweats, weight loss, cough, and hemoptysis for the last 4 weeks. Physical examination shows lymph - adenopathy. Another family member of the patient is tak - ing medications for similar symptoms. What is the diagnosis?",A. Sarcoidosis,B. Tuberculosis,C. Bronchopneumonia,D. Atypical pneumonia,E. Bronchiectasis,
Set_9: q5,"A 35-year-old female come to the office with symptoms of fatigue, malaise, shortness of breath, skin lesions, eye irritation, fever, and night sweats. Lung biopsy shows noncaseating granulomas. What is the diagnosis?",A. Tuberculosis,B. Bronchopneumonia,C. Sarcoidosis,D. Lobar pneumonia,E. Bronchogenic carcinoma,
Set_9: q6,Microscopic pictures of the lung of a patient with a his - tory of smoking for the last 25  years is shown below. What is the diagnosis?,A. Large cell carcinoma,B. Squamous cell carcinoma  70,C. Large cell anaplastic carcinoma,D. Malignant mesothelioma,E. Adenocarcinoma,
Set_9: q7,A 50-year-old woman with α1-antitrypsin deficiency and no history of smoking requires a double lung transplant for severe emphysema. Which type of emphysema would most likely predominate in this patient’s lung?,A. Paraseptal emphysema,B. Panacinar emphysema,C. Interstitial emphysema,D. Centriacinar emphysema,E. Proximal acinar emphysema,
Set_9: q8,"A 51-year-old male patient presents with shortness of breath, fever, and weight loss. He is a nonsmoker. He worked in restoring building for most of his life. Imaging studies show bilateral pleural effusions. Pleural biopsy is performed and shows discohesive aggregates of round tumor cells with abundant cytoplasm in a fuzzy cell bor - ders. What is the diagnosis?",A. Small cell lung cancer,B. Malignant mesothelioma,C. Squamous cell carcinoma of the lung,D. Nonsmall cell lung cancer (NSCLC),E. Adenocarcinoma of the lung,
Set_9: q9,"A 39-year-old man presents with symptoms of chest pain, wheezing, shortness of breath, diarrhea. He also com - plains of redness/feeling of warmth in the face and the neck. Imaging studies show an area of consolidation in the right upper lobe. What is the appropriate diagnosis?",A. Adenocarcinoma,B. Carcinoid tumor,C. Squamous cell carcinoma,D. Malignant mesothelioma,E. Hamartoma,
Set_9: q10, Consolidation of the lung is a common pathological reaction pattern to broad category of etiologic agents and pulmonary disease. Which of the following etiologic agents is commonly responsible for alveolar exudative solidification?,A. Viral pneumonia,B. Bacterial pneumonia,C. Chlamydial pneumonia,D. Mycoplasma pneumonia,E. Mycobacterium tuberculosis,
Set_9: q11, Which oncogene is found in the small cell lung carcinoma?,A. Ki-ras,B. L-myc,C. c-myc,D. n-myc,E. Cyclin D,
Set_9: q12," Although most cases of lung cancer are due to tobacco smoking, lung cancer among never smokers is an impor - tant problem. Which of the following fusion oncogene is seen in nonsmall cell lung cancer?",A. Anaplastic lymphoma kinase (ALK) fusion oncogene,B. BCAM-AKT2,C. BCR-ABL,D. EWSR1-CREB1 and EWSR1-ATF1,E. ETV6-NTRK3,
Set_9: q13, Exposure to which of the following substances causes calcification of the rim of hilar nodes (eggshell calcification)?,A. Beryllium,B. Silica,C. Coal dust,D. Organic dust,E. Nylon flock exposure,
Set_9: q14," A 19-year-old patient comes to the physician office with symptoms of fever, sore throat, and hoarseness and shortness of breath. Chest imaging shows reticu - lonodular opacities. Laboratory investigation shows elevated cold agglutinin titer. Which of the follow - ing organisms is responsible for this patient’s condition?",A. Mycoplasma pneumoniae,B. Pseudomonas aeruginosa,C. Staphylococcus aureus,D. Streptococcus pneumoniae,E. Streptococcus pyogenes,
Set_9: q15, Pulmonary nodules may be detected on cross sectional imaging studies performed for an unrelated reason. Which of the following is the benign tumor of the lung?,A. Hamartoma,B. Adenocarcinoma,C. Squamous cell carcinoma,D. Large cell carcinoma,E. Small cell carcinoma,
Set_9: q16, Gross appearance of the affected lung is shown in the figure below. Which of the following pathogen is a cause of this appearance of lung?9 Lungs 71,A. Streptococcus pneumoniae,B. Mycoplasma pneumoniae,C. Pneumocystis jiroveci,D. Streptococcus aureus,E. Pseudomonas aeruginosa,
Set_9: q17, A 35-year-old man presents with symptoms of chronic obstructive pulmonary disease. X-ray shows vague retic - ulonodular pattern. Bronchoscopy is done and a methe - namine silver stain highlights the cysts. Which additional testing should be performed?,A. Blood culture,B. Sputum gram stain and culture,C. HIV antibody testing,D. Mycobacterial culture,E. Pulmonary function testing,
Set_9: q18, All of the following paraneoplstic syndromes are seen in carcinoma lung except:,A. Hypertrophic osteoarthropathy,B. Myasthenia gravis,C. Cushing’s syndrome,D. Hypoglycemia,E. Hypercalcemia,
Set_9: q19, Which of the following organisms is most likely respon - sible for lung abscess?,A. Pseudomonas aeruginosa,B. Peptostreptococcus,C. Escherichia coli,D. Streptococcus pneumoniae,E. Streptococcus pyogenes,
Set_9: q20," Shoulder and arm pain, atrophy of muscles of the hand and Horner syndrome are because of which of the fol - lowing condition?",A. Multiple myeloma,B. Adenoid cystic carcinoma,C. Pancoast tumor,D. Mesothelioma,E. Lymphoma,
Set_9: q21, Which of the following pulmonary infections does not result in granuloma formation?,A. Mycobacterium tuberculae,B. Histoplasma capsulatum,C. Blastomyces dermatitidis,D. Coccidioides immitis,E. Legionella pneumophila,
Set_10: q1,"A middle-aged man comes to the physician office with a lump on the left side of face for the last 8 months. Physical examination shows a painless mass in the region of the left parotid gland. The mass is completely excised. Microscopically, there are spaces lined by a double layer of epithelial cells with a dense lymphoid stroma. What is the diagnosis?",A. Warthin tumor,B. Acinic cell carcinoma,C. Squamous cell carcinoma,D. Pleomorphic adenoma,E. Mucoepidermoid carcinoma,
Set_10: q2,Which salivary gland is the most frequent site of tumor involvement?,A. Parotid gland,B. Submaxillary gland,C. Sublingual gland,D. Minor salivary glands,E. Submandibular gland,
Set_10: q3,"A 59-year-old male presents with symptoms of chronic nasal congestion, ear fullness, tinnitus, headaches, and dizziness for the last 6 months. There is a long history of smoking. Imaging studies demonstrate a left-sided, homogenous mass in the region of Rosenmuller’s fossa. Resection of the mass is done that is EBER positive. What is the diagnosis?",A. Granular cell tumor,B. Non-Hodgkin lymphoma,C. Rhabdomyosarcoma,D. Nasopharyngeal carcinoma,E. Paraganglioma,
Set_10: q4,Which of the following mutations are seen in medullary carcinoma of thyroid?,A. RET,B. PAX8/PPARy,C. RET/PTC,D. RAS,E. BRAF,
Set_10: q5,Viral Parotitis is caused by which organism?,A. Herpes simplex,B. Parvovirus B19,C. Adenovirus,D. Paramyxovirus,E. Papillomavirus,
Set_10: q6,Which of the following is the most common salivary gland neoplasm?,A. Pleomorphic adenoma,B. Adenoid cystic carcinoma,C. Warthin tumor,D. Oncocytoma,E. Basal cell adenoma,
Set_10: q7,"A 49-year-old man presents with a neck mass involving the right submandibular gland. Biopsy of the mass shows interlobular fibrosis, periductal fibrosis with lymphoplas - macytic proliferation. What is the diagnosis?",A. Chronic sclerosing sialadenitis,B. Pleomorphic adenoma,C. Adenoid cystic carcinoma,D. Mucoepidermoid carcinoma,E. Nodular sclerosis Hodgkin lymphoma,
Set_10: q8,A 42-years-old female presents with symptoms of hypothyroidism. Biopsy shows diffuse lymphoid infil - trate with germinal center formation. What is the diagnosis?,A. Hashimoto’s thyroiditis,B. Graves’ disease,C. Subacute thyroiditis,D. Papillary carcinoma of thyroid,E. Follicular thyroid carcinoma,
Set_10: q9,Diagram of a 35-year-old male patient with white lesions on the mucosa of the floor of the mouth is shown below. Patient smoked one pack of cigarettes per day for the last 15 years. What is the diagnosis?  78,A. Frictional keratosis,B. Candidiasis,C. Leukoplakia,D. Lichen planus,E. White sponge nevus,
Set_10: q10," A 21-year-old man presented with a 2 months history of swelling in his lower right back teeth region. On intra - oral examination, a solitary well-defined oval-shaped erythematous mass was noticed in the right retromolar area. Biopsy of the mass is done. H&E microscopic pic - ture is shown below. What is the diagnosis?",A. Mucoepidermoid carcinoma,B. Acinic cell carcinoma,C. Squamous cell carcinoma,D. Pleomorphic adenoma,E. Mucoepidermoid carcinoma,
Set_10: q11," Fine needle aspiration of a painless cystic mass in the midline neck region shows degenerative debris. This debris is admixed with mature squamous epithelium, colloid cells, hemosiderin laden macrophages, and lym - phocytes. What is the diagnosis?",A. Thyroglossal duct cyst,B. Epidermoid cyst,C. Branchial cyst,D. Squamous cell carcinoma,E. Metastatic thyroid carcinoma,
