Question,A,B,C,D,E,F
"A 19-year-old high school athlete presents with excruci - ating left ear pain. Physical examination shows diffused inflamed, encrusted, ear canal with weeping lesion. Which of the following organism is most likely to pro - duce these findings?",Escherichia coli,Aspergillus niger,Proteus vulgaris,Pseudomonas aeruginosa,Klebsiella pneumoniae,
A 39-year-old woman presents with symptoms of inter - mittent bloody urine. A diagnosis of infection with an adult worm is suspected. This adult worm resides in the veins of the urine bladder. Which of the following is most likely to cause these clinical findings?,Schistosoma haematobium,Trematodes (flukes),Diphyllobothriasis,Strongyloidiasis,Cysticercosis,
A 14-year-old male with sickle cell anemia presents with shortness of breath that has been getting worse over the past several days. Laboratory finding shows rela - tively low reticulocyte count (0.5%). Which of the fol - lowing virus is most likely to produce these findings?,Retrovirus,Parvovirus B 19,Adenovirus,Epstein–Barr virus,Calicivirus,
"A 28-year-old woman with HIV infection presents with symptoms of fever, sweats, malaise, and sore throat for the last 2 weeks. Physical examination shows swollen tender cervical lymph nodes. Endoscopic examination shows plaques throughout her esophagus. Which of the following is the diagnosis related to the sore throat?",Disseminated pneumocystis carimi,Candida esophagitis,Hairy leukoplakia,Cytomegalovirus ulcers of the esophagus,Lymphoma of the esophagus,
A 24-year-old recently married female with symptoms of dysuria. A urine nitrite test is negative. The bacteria is cul - tured. Biochemical tests are catalase+/coagulase-/novo - biocin resistant bacteria. Which of the following infectious agents is most likely to produce these findings?,Staphylococcus saprophyticus,Escherichia coli,Staphylococcus aureus,Pseudomonas aeruginosa,Proteus vulgaris,
,,,,,,
Medial calcification is seen in:,Atherosclerosis,Arteriosclerosis,Monckeberg sclerosis,Dissecting aneurysm,Malignant hypertension,
Neointimal hyperplasia causes vascular graft failure as a result of hypertrophy of:,Smooth muscle cells,Endothelial cells,Collagen fibers,Elastic fibers,Epithelial cells,
Atheromatous changes of blood vessels affects early in:,Kidney,Heart,Liver,Spleen,Brain,
Most common cause of aortic aneurysm is:,Syphilis,Marfan's syndrome,Atherosclerosis,Congenital,HIV,
Most common cause of aortic dissection is:,Hypertension,Diabetes melitus,Trauma,Marfan's syndrome,Myocardial infarction,
Muscle biopsy in polyarteritis nodosa (PAN) show:,Necrotizing arteritis,Atrophy,Granulomatous lesion,Ring lesion,Fragmentation of the internal elastic lamina,
Hypersensitivity vasculitis is seen most commonly in:,Post capillary venules,Arterioles,Veins,Capillaries,Elastic arteries,
Hypersensitivity vasculitis is seen in which complication:,Systemic lupus erythematosus,Polyarteritis nodosa,Henoch-Schonlein purpura,Buerger’s disease,Wegener's granulomatosis,
The tissue of origin of Kaposi sarcoma is:,Lymphoid,Vascular,Neural,Muscular,Bone,
"A 20-year-old female presents with low grade fever, fatigue, and arthralgia. Physical examination shows absence or weak peripheral pulse of radial artery. What is the diagnosis?",Giant cell arteritis,Takayasu arteritis,Bechet syndrome,IgG4-related disease,Fibromuscular dysplasia,
"A 60-year-old male presents with headache visual dis - turbance jaw claudication, sudden onset of visual changes. Laboratory findings show elevated erythrocyte sedimentation rate. What is the diagnosis?",Giant cell arteritis,Migraine headache,Polymyalgia rheumatica,Postherpetic neuralgia,Transient ischemic attack,
"A middle-aged man presents with bilateral pneumonitis with nodular and cavitary pulmonary infiltrates, chronic  40 sinusitis, nasopharyngeal ulcerations, and renal disease. Laboratory findings show cytoplasmic antineutrophil cytoplasmic autoantibodies (c-ANCA). Which of the following diagnosis is most compatible with the findings in this case?",Wegener’s granulomatosis,Goodpasture’s disease,Buerger’s disease,Lupus nephritis,Postinfectious glomerulonephritis,
A 32-year-old male smoker develops gangrenous toes of the left foot. His serum cholesterol level is 135 mg/ dL. What is the diagnosis?,Monckeberg’s arteriosclerosis,Severe atherosclerosis,Thromboangiitis obliterans,Giant cell arteritis,Kawasaki’s disease,
"A 45-year-old man injures his left knee while skiing and undergoes arthroscopic surgery. He continues to have considerable left knee pain despite receiving analgesic medication. He spends the next few days in bed. On the fifth postoperative day, he develops acute right-sided chest pain. What is the most likely diagnosis?",Pulmonary embolism,Drug reaction,Aspiration pneumonia,Diffuse alveolar damage,Viral pneumonia,
Which of the following substances is most likely to reduce serum level of cholesterol?,Apolipoprotein,Lipoprotein,Omega-3 fatty acids,C-reactive protein,Exercise,
Which of the following is true about atherogenesis?,Vascular cell adhesion molecule 1 (VCAM-1),Activated endothelial cells and leukocytes release growth factors,Calcification and peripheral neovascularization,A and B,All of the above,
An increase in which of the following is most likely to increase the risk for the development of cardiovascular risk?,Erythrocyte sedimentation rate (ESR),White blood cell count,C-reactive protein (CRP),Total protein,Cryoglobulin,
A 52-year-old woman presents with severe headache. CT scan shows an intracranial hemorrhage. Which of the following complication is most likely to occur as a con - sequence of her condition?,Antiphospholipid syndrome,Mycotic aneurysm,Atrial myxoma,Systemic lupus erythematosus,Polymyalgia rheumatica,
An exaggerated vascular response to cold temperatures or emotional stress is seen in which of the following vas - cular disorder?,Antiphospholipid syndrome,Cryoglobulinemia,Mixed connective tissue disease,Scleroderma,Raynaud’s phenomenon,
Which of the following arteries is most commonly affected in Kawasaki disease?,External carotid artery,Subclavian artery,Coronary artery,Renal artery,Femoral artery,
,,,,,,
A 46-year-old woman with a history of systemic lupus erythematosus comes to the physician office due to fre - quent thromboembolic events due to a mitral valve mass. Transesophageal echocardiography demonstrated verru - cous vegetations on the mitral valve. What is the diagnosis?,Degenerative valvular disease,Rheumatic valvular disease,Infective endocarditis,Libman–Sacks endocarditis,Non-bacterial thrombotic endocarditis,
What is the characteristic feature of rheumatic carditis?,Pericarditis,Endocarditis,Myocarditis,Pancarditis,Reflux carditis,
What is the characteristic diagnostic histological feature of rheumatic heart disease?,Aschoff body,Bread butter pericarditis,Eosinophilic infiltration,Patchy infarction,Deep granuloma annulare,
The commonest type of pericarditis in acute rheumatic fever is:,Serous pericarditis,Fibrinous pericarditis,Purulent pericarditis,Myxomatous pericarditis,Constrictive pericarditis,
"A 14-year-old male died suddenly while playing basket - ball. An autopsy is performed, and a gross photograph of the heart opened to reveal the left ventricle, is shown here. What is the diagnosis?",Hypertrophic cardiomyopathy (HCM),Hypertensive heart disease,Aortic stenosis,Restrictive cardiomyopathy,Fabry disease,
Gross picture of heart with marked left ventricular hypertrophy is shown below. What is the diagnosis?  46,Pheochromocytoma,Hypertension,MEN I (Wermer’s syndrome),MEN II (IIa or Sipple’s syndrome),MEN III,
Tetralogy of Fallot is defined as:,Right ventricular hypertrophy,Ventricular septal defect,Pulmonary stenosis,An aorta that overrides the ventricular septal defect,All of the above,
A surgically resected mitral valve has a “fish-mouth” shape due to commissural fusion. These changes are most likely the result of:,Infective endocarditis,Rheumatic heart disease,Left ventricular enlargement,Myxomatous degeneration,Papillary muscle rupture,
A 22-year-old man who has multiple cutaneous xantho - mas presents to a local emergency room complaining an acute onset of chest pain while jogging. There is a family history of myocardial infarction in his 26-year-old brother and his father at young age. An EKG is done which shows ST elevation in the left precordial leads. Laboratory studies show elevated Troponin I.  Patient dies due to ventricular fibrillation. Which of the follow - ing risk factors is most likely responsible for this man’s cardiac disease?,Niemann–Pick disease,Glycogen storage disease type 1,Gaucher’s disease,Familial hypercholesterolemia,Tay–Sachs disease,
A 59-year-old woman has metastatic breast carcinoma. Which of the following condition is well described phe - nomenon associated with malignancies?,Calcific valvular disease,Antiphospholipid syndrome,Acute infectious endocarditis,Atrial myxoma,Marantic endocarditis,
What is the earliest microscopic sequence of changes in the heart after myocardial infarction?,Wavy myocyte fibers,Coagulative necrosis,Neutrophilic infiltrate,Macrophages,Granulation tissue,
What is the most common cardiovascular manifestation associated with systemic lupus erythematosus?,Myocarditis,Cardiomyopathy,Pericarditis,Pancreatitis,Pulmonary hypertension,
Rupture of the free wall of the ventricle is most common within how many days postmyocardial infarction?,48 h post-MI,24 h post-MI,3–7 days post-MI,2 weeks post-MI,3 weeks post-MI,
"In order to make a morphologic diagnosis of definite myocarditis, which of the following changes are required?",Inflammatory infiltration and myocyte necrosis,Eosinophilic infiltration,Giant cells,Inflammatory infiltration,Inflammatory infiltration and fibrosis,
Which of the following is associated with cardiac rhabdomyoma?,Hibernoma,Reticulohistiocytoma,Myxoma,Tuberous sclerosis,Hemangiomas,
Microscopic findings intra-alveolar hemosiderin-laden macrophages are suggestive of:,Acute respiratory distress syndrome,Bacterial pneumonia,Cardiogenic pulmonary edema,Congestive heart failure,Serous pericarditis,
Which of the following serum marker is used to diag - nose myocardial infarction in 3–6 h?,CK-MB,LDH,Alanine aminotransferase (ALT),Troponin I & T,Aspartate aminotransferase (AST),
Which of the following is associated with Marfan’s syndrome?7 The Heart 47,Mitral regurgitation,Pulmonary regurgitation,Mitral valve prolapse,Pulmonic stenosis,Tricuspid valve atresia,
Microscopic findings of amorphous extracellular matrix with scattered stellate or globular myxoma cells within abundant mucopolysaccharide ground substances are characteristic of which cardiac tumor?,Cardiac myxoma,Cardiac rhabdomyoma,Lipoma,Primary malignant cardiac tumor,Carcinoid tumor,
The congenital heart anomaly that is least likely to cause neonatal cyanosis is:,Ventricular septal defect,Tricuspid atresia,Tetralogy of fallot,Transposition of great vessels,Truncus arteriosus,
What is the diagnosis regarding the disease process seen in this heart microscopic section?,Cardiac amyloidosis,Hypertensive heart disease,Hypertrophic cardiomyopathy,Glycogen storage disease,Fabry disease,
"A complete atrioventricular (A V) canal defect is com - prised of an atrial septal defect, a ventricular septal defect, and a common A/V valve. This congenital car - diac anomaly is associated with which of the following medical conditions?",Zellweger syndrome,Trisomy 18,Down syndrome,Congenital hypothyroidism,DiGeorge syndrome,
A 33-year-old male is brought dead to the emergency department. Autopsy shows a ruptured cerebral aneu -rysm with extensive intracranial hemorrhage. Which of the following disease is associated with this patient’s condition?,Patent ductus arteriosus,Transposition of the great arteries,Atrial septal defect,Coarctation of the aorta,Bicuspid aortic valve,
A 27-year-old male patient is brought by his friends to the emergency room with severe shortness of breath. The patient dies suddenly. Troponin and CK-MB were elevated. What is the diagnosis?,Dilated cardiomyopathy (DCM),Hypertrophic cardiomyopathy,Restrictive cardiomyopathy,Acute coronary syndrome,Cardiac tamponade,
,,,,,,
Paroxysmal nocturnal hemoglobinuria (PNH) is associ - ated with deficiency of:,MIRL (Membrane inhibitor of reactive lysis),DAF (Decay accelerating factor),LFA-1 (Lymphocyte function-associated antigen 1),GPI (Glycosylphosphatidylinositol) anchored proteins,LFA-3 (Lymphocyte function-associated antigen 3),
"A 20-year-old female comes to the physician office with symptoms of increased menstrual flow and easy bruis - ing. Laboratory investigations show platelet count of 26,000/mm",,,,,,
A diagnosis of idiopathic thrombocytope - nic purpura (ITP) is made. Which of the following is responsible for low platelet count in ITP?,Antiplatelet antibodies,Defective platelet aggregation,Hypersplenism,Ineffective megakaryopoiesis,Mechanical trauma,
A 70-year-old male presents with bone pain in the back and renal failure. Bone marrow aspirate shows abnormal blasts. Which finding is expected in the red blood cells of the peripheral blood smear?,Rouleaux formation,Schistocytes,Teardrop-shaped red cells,Dacrocytes,Bite cells,
Thrombocytosis refers to an increased platelet count. Which of the following is correct statement regarding thrombocytosis?,"Platelet count of >200,000/ μL (>200 × 109/L)","Platelet count of >250,000/ μL (>250 × 109/L)","Platelet count of >350,000/ μL (>350 × 109/L)","Platelet count of >325,000/ μL (>325 × 109/L)","Platelet count of >450,000/ μL (>450 × 109/L)",
Howell–Jolly bodies are a cytopathological findings of basophilic nuclear remnants (clusters of DNA) in circu - lating erythrocytes. Howell–Jolly bodies are found in which of the following condition?,Asplenia (surgical or functional),Iron deficiency anemia,β-Thalassemia minor,Glucose-6-phosphate dehydrogenase deficiency,Megaloblastic anemia,
"A 29-year-old female is scheduled for elective surgery. Screening tests for bleeding disorder are done. Prothrombin time (PT) = 13.7 s, Partial thromboplastin time (PTT) = 100 s, PTT (50:50 MIX) = 29.3 s, PTT (50:50 MIX-1 h) = 28.6 s. Which of the following factor is likely to be deficient?",Factor XII,Factor XI,Factor VIII,Factor IX,Factor X,
The cytogenetic defect t(15;17) is associated with which of the following leukemia?,Chronic myeloid leukemia,Acute promyelocytic leukemia,Acute lymphoblastic leukemia,Chronic lymphocytic leukemia,Acute monocytic leukemia,
"A 59-year-old female with breast cancer presents with fatigue. Complete blood count shows pancytopenia. Peripheral blood smear shows nucleated red cells, dac - rocytes, and immature granulocytes but no blasts. What is the diagnosis?  54",Acute myeloid leukemia,Myelodysplastic syndrome,Myelophthisic anemia,Chronic lymphocytic leukemia,Chronic myeloid leukemia.,
"Laboratory findings of anemia, thrombocytopenia, and leukopenia are characteristic of which of the following type of anemia?",Megaloblastic anemia,Iron deficiency anemia,Aplastic anemia,Sickle cell anemia.,β Thalassemia,
Ineffective erythropoiesis is characteristic of which one of the following conditions?,β Thalassemia major,Iron deficiency anemia.,Aplastic anemia,Sickle cell anemia.,Glucose-6-Phosphate Dehydrogenase (G6PD) Deficiency.,
Which of the following is a poor prognostic indicator in acute lymphoblastic leukemia (ALL)?,t(4;11)(q21;q23),t(1;19)(q23;p13),t(5;14)(q31.1;q32.1),t(12;21)(p13.2;q22.1),t(v;11)(q23.3),
Macro-ovalocytes and hypersegmented neutrophils are seen in which of the following type of anemia?,Megaloblastic anemia.,Aplastic anemia,Iron deficiency anemia,Hereditary spherocytosis,Autoimmune hemolytic anemia,
"Classical pentad of transient neurologic problems, fever, thrombocytopenia, microangiopathic hemolytic anemia, and acute renal failure are found in which of the follow - ing condition?",Idiopathic thrombotic thrombocytopenic purpura,Paroxysmal nocturnal hemoglobinuria,Hemolytic-uremic syndrome,Thrombotic thrombocytopenic purpura,Disseminated intravascular coagulation,
Bone marrow biopsy of a 72-year-old man is shown below. What is the diagnosis?,Primary (Malignant) lymphoma of bone,Metastatic bone disease,Multiple myeloma,Monoclonal gammopathies of undetermined signifi - cance (MGUS),Waldenstrom macroglobulinemia,
Schistocytes (fragmented red cells) in peripheral blood smear are characteristics of which of the following anemia?,Iron deficiency anemia,Anemia of chronic disease,Aplastic anemia,Sideroblastic anemia,Microangiopathic hemolytic anemia,
Pappenheimer bodies are composed of:,Copper,Iron,Zinc,Manganese,Silicates,
Basophilic stippling of red cells is found in which of the following condition?,Lead poisoning,Hemophilia,Paroxysmal nocturnal hemoglobinuria,Hemoglobin C disease,G6PD deficiency,
Abnormal shaped red blood cells are found in different medical conditions. Bite cells are characteristic of which of the following condition?,G6PD deficiency8 Hematopathology of Red Blood Cells and White Blood Cells 55,Thalassemia,Hereditary spherocytosis,Sideroblastic anemia,Anemia of chronic disease,
"An 8-year-old girl is brought to the emergency by her mother with symptoms of nose bleed and hematomas. Laboratory investigations show prolonged bleeding time, normal prothrombin time, and prolonged partial thromboplastin time. What is the diagnosis?",Immune thrombocytopenic purpura,V on Willebrand disease,Hemophilia A,Hemophilia B,Disseminated intravascular coagulopathy,
Peripheral blood smear of a male patient is shown below. What is the diagnosis?,Anemia of chronic disease,Megaloblastic anemia,Sideroblastic anemia,Sickle cell anemia,Iron deficiency anemia,
"Which of the following vitamins is an essential cofactor for gamma-glutamyl carboxylase, an enzyme that car - boxylates coagulation factors II, VII, IX, and X?",Vitamin K,Vitamin A,Vitamin D,Vitamin B-12,Thiamine (Vitamin B1),
Which of the following statements about V on Willebrand factor (vWF) is correct?,V on Willebrand factor activity is higher in adults than newborns,Patients with blood group O have the highest mean vWF levels,V on Willebrand factor activity is equal in adults and newborns,V on Willebrand factor activity is higher in newborns than adults,V on Willebrand factor is only synthesized by endo - thelial cells,
"An 80-year-old male patients present with fatigue, mal - aise, and anemia. Peripheral blood smear shows increased number of normal-appearing lymphocytes. What is the diagnosis?",Chronic myelogenous leukemia,Polycythemia vera,Acute myelogenous leukemia,Chronic lymphocytic leukemia,Myelofibrosis with myeloid metaplasia,
Microscopic picture is shown below. What is the diagnosis?,Langerhans cell,Giant cells,Macrophage,Megaloblastosis,Emperipolesis,
Which of the following test is the best indicator of response to therapy on patients being treated for throm - botic thrombocytopenic purpura (TTP)?,Prothrombin time,Fibrinogen levels,Platelet count,Activated partial thromboplastin time,LDH level,
"A 47-year-old male presents with fatigue, dyspnea and easy bruisability. Echocardiogram shows reduced left ventricular ejection. Endomyocardial biopsy is done which shows amyloid deposition. PT and aPTT values are increased. What is the diagnosis?",Factor V deficiency,Factor II deficiencyMultiple Choice Questions 56,Factor X deficiency,Factor XII deficiency,Factor VIII deficiency,
Which of the following is an indicator of good prognosis for pre-B Childhood ALL?,Age of diagnosis,Hypodiploidy,Hyperdiploidy,WBC count,"(1, 19) translocation",
"Platelets are tiny, disc-shaped pieces of cells that are found in the blood. Platelets are stored at:",20–24 °C,4 °C,−20 °C,0 °C,8 °C,
Which antibody is commonly elevated in Waldenstrom macroglobulinemia?,IgG,IgA,IgM,IgD,IgE,
Prothrombin time (PT) is a blood test that measures the time it takes for the liquid portion (plasma) of blood to clot. Prolonged prothrombin time is seen in:,Hemophilia A,Hemophilia B,Thrombocytopenia,Factor VII deficiency,Factor XIII deficiency,
Red blood cells are prepared from whole blood by removing the plasma. Shelf life of whole blood is:,35 days,120 days,7 days,85 days,100 days,
"A 15-year-old male presents with fever, sore throat, and enlarged cervical lymph nodes. CBC shows total WBC of 22,",,,,,,
Peripheral blood smear shows atypical lympho - cytes. Monospot test is positive. What is the diagnosis?,Infectious mononucleosis,Acute mumps,Diphtheria,Scarlet fever,Toxoplasmosis,
Cabot’s ring in RBCs is seen in:,Acquired hemolytic anemia,Hemochromatosis,Thalassemia,After splenectomy,Iron deficiency anemia,
Deficiency of which of the following causes hereditary spherocytosis?,Actin,Glycoprotein,Ankyrin,Band 4,G-6PD deficiency,
"A 37-year-old male presents with severe fatigue, fre - quent nose bleeds, and gingival masses. The abnormal cells seen in the blood smear show tissue paper nuclei. What is the diagnosis?",Acute myelogenous leukemia,Acute monocytic leukemia,Chronic lymphocytic leukemia,Acute lymphocytic leukemia,Acute myelomonocytic leukemia,
Which of the following is a marker of B or T cell acute lymphoblastic leukemia?,CD138 positivity,CD33 positivity,CD52 positivity,TdT positivity,CD10 positivity,
Reticulocytes are stained by:,Wright stain,Brilliant cresyl blue,Alcian blue,Giemsa stain,Trichrome stain,
Which of the following findings will be found in iron deficiency anemia?,"Decreased MCV , increased RDW","Increased MCV , increased RDW","Normal MCV , Increased RDW","Decreased MCV , decreased RDW","Normal MCV , normal RDW",
Most sensitive test for disseminated intravascular coagu - lation (DIC) is:,Platelet count,D-Dimer,Fibrinogen Degradation Products (FDP),PT,Bleeding time,
PAS-positive coarse granules are found in which kind of leukemia?,Acute lymphoblastic leukemia,Acute myeloblastic leukemia,Acute promyelocytic leukemia,Chronic lymphocytic leukemia,Chronic myeloid leukemia8 Hematopathology of Red Blood Cells and White Blood Cells 57,
Which of the following cytochemical stains differentiate acute myeloid leukemia (AML) from Acute lympho - blastic leukemia (ALL)?,Acid phosphatase,Nonspecific esterase,Myeloperoxidase,Toluidine blue,Giemsa stain,
"A 9-year-old male child comes to the pediatrician office with symptoms of fatigue, weakness, infections, nose bleed, and gingival bleeding. Laboratory investigations show hemoglobin of 5.5 g/dL. Flow cytometry reveals biphenotypic patterns of antigen expressions. There is strong expression of CD19 and Myeloperoxidase (MPO) + ve. What is the diagnosis?",Acute lymphoblastic leukemia,Acute myeloid leukemia,Undifferentiated leukemia,Mixed phenotype acute leukemia,Chronic myelogenous leukemia,
"A 49-year-old female presents with fever, fatigue, and a dragging sensation in her upper left quadrant. Complete blood count shows low hemoglobin and elevated white blood cells count. Bone marrow aspirates shows imma - ture cells, segmented neutrophils, and basophils. What is the diagnosis?",Acute lymphoblastic leukemia,Acute myeloid leukemia,Myelodysplastic syndrome,Chronic myeloid leukemia,Chronic lymphocytic leukemia,
Macrocytosis of red blood cells are seen in:,Folate deficiency,Myelodysplasia,Alcoholism,Vitamin B12,All of the above,
"A 72-year-old patient comes to the physician office with complaints of fatigue and low energy. Detailed  laboratory and imaging investigations were done. Serum M-protein shows <3 g/dL. Bone marrow shows plasma cells <10 percent. There are no lytic lesions, anemia, hypercalce - mia, and renal insufficiency. What is the diagnosis?",Multiple myeloma,Reactive systemic amyloidosis,Non-Hodgkin lymphoma,Monoclonal gammopathy of undetermined signifi - cance (MGUS),Waldenstrom macroglobulinemia,
Peripheral blood smear of a 54-year-old patient is shown below. What is the diagnosis?,Hairy cell leukemia,Chronic lymphocytic leukemia,Myelodysplastic syndrome,Myelophthisic anemia,Primary myelofibrosis,
Bence Jones proteins in the urine are found in which of the following condition?,Multiple myeloma,Waldenstrom macroglobulinemia,Mantle cell lymphoma,Acute lymphoblastic lymphoma,Chronic lymphocytic leukemia,
"A 60-year-old man presents with pancytopenia, a mark - edly enlarged spleen and extramedullary hematopoiesis. He is found to have a JAK-2 mutation. What is the diagnosis?",Myelodysplastic syndrome,Chronic myeloid leukemia,Hairy cell leukemia,Chronic myelofibrosis,Acute myeloid leukemia,
The combination of erythrocytosis leukocytosis and thrombocytosis along with splenomegaly is highly char - acteristic of which of the following condition?,Essential thrombocytosis,Chronic myelogenous leukemia,Primary myelofibrosis,Acute lymphoblastic leukemia,Polycythemia vera,
"Cytopenias (anemia, neutropenia, thrombocytopenia) and morphological evidence of significant dysplasia in all the cell lines (erythroid, myeloid, and megakaryo - cytes) are characteristics of which of the following condition?Multiple Choice Questions 58",Myelodysplastic syndrome,Acute myelogenous leukemia,Polycythemia vera,Essential thrombocythemia,Chronic myelogenous leukemia,
Which of the following lab finding would support a diagnosis of anemia of chronic disease (ACD)?,Normal serum iron,Low serum transferrin,Elevated serum ferritin,Elevated hemoglobin A2,Normal erythrocyte sedimentation rate,
A 39-year-old female patient present with intractable nose bleeds. Complete blood counts show low hemoglobin and elevate in the white blood cells count (122 × 109/L). Some of the abnormal cells show thin linear structures either side of the nucleus. What is the diagnosis?,Acute myeloblastic leukemia without maturation (AML-M1),Acute monoblastic and monocytic leukemia,Acute myelomonocytic leukemia,Acute lymphoblastic leukemia,Acute megakaryoblastic leukemia (AML-M7),
,,,,,,
Superior vena cava (SVC) syndrome is a collection of clinical signs and symptoms resulting from either partial or complete obstruction of blood flow through the SV,What is the commonest cause of superior vena cava (SVC) obstruction?,Fibrosis of superior vena cava,Bronchogenic carcinoma,Pericardial fibrosis,Hepatocellular carcinoma,Bronchiectasis
Which of the following is the underlying lesion of the acute respiratory distress syndrome?,Organizing pneumonia,Bronchiolitis,Diffuse alveolar damage,Usual interstitial pneumonitis,Bronchopneumonia,
"A 2-year-old male child is brought to the pediatrician office by his mother with symptoms of fever, shortness of breath, and rapid breathing. X-ray of the chest is done which shows patchy appearance with peribronchial thick - ening and poorly defined air space opacities. What is the diagnosis?",Atypical pneumonia,Tuberculosis,Bronchopneumonia,Atelectasis,Lobar pneumonia,
"A 40-year-old male patient has clinical presentation fevers, night sweats, weight loss, cough, and hemoptysis for the last 4 weeks. Physical examination shows lymph - adenopathy. Another family member of the patient is tak - ing medications for similar symptoms. What is the diagnosis?",Sarcoidosis,Tuberculosis,Bronchopneumonia,Atypical pneumonia,Bronchiectasis,
"A 35-year-old female come to the office with symptoms of fatigue, malaise, shortness of breath, skin lesions, eye irritation, fever, and night sweats. Lung biopsy shows noncaseating granulomas. What is the diagnosis?",Tuberculosis,Bronchopneumonia,Sarcoidosis,Lobar pneumonia,Bronchogenic carcinoma,
Microscopic pictures of the lung of a patient with a his - tory of smoking for the last 25  years is shown below. What is the diagnosis?,Large cell carcinoma,Squamous cell carcinoma  70,Large cell anaplastic carcinoma,Malignant mesothelioma,Adenocarcinoma,
A 50-year-old woman with α1-antitrypsin deficiency and no history of smoking requires a double lung transplant for severe emphysema. Which type of emphysema would most likely predominate in this patient’s lung?,Paraseptal emphysema,Panacinar emphysema,Interstitial emphysema,Centriacinar emphysema,Proximal acinar emphysema,
"A 51-year-old male patient presents with shortness of breath, fever, and weight loss. He is a nonsmoker. He worked in restoring building for most of his life. Imaging studies show bilateral pleural effusions. Pleural biopsy is performed and shows discohesive aggregates of round tumor cells with abundant cytoplasm in a fuzzy cell bor - ders. What is the diagnosis?",Small cell lung cancer,Malignant mesothelioma,Squamous cell carcinoma of the lung,Nonsmall cell lung cancer (NSCLC),Adenocarcinoma of the lung,
"A 39-year-old man presents with symptoms of chest pain, wheezing, shortness of breath, diarrhea. He also com - plains of redness/feeling of warmth in the face and the neck. Imaging studies show an area of consolidation in the right upper lobe. What is the appropriate diagnosis?",Adenocarcinoma,Carcinoid tumor,Squamous cell carcinoma,Malignant mesothelioma,Hamartoma,
Consolidation of the lung is a common pathological reaction pattern to broad category of etiologic agents and pulmonary disease. Which of the following etiologic agents is commonly responsible for alveolar exudative solidification?,Viral pneumonia,Bacterial pneumonia,Chlamydial pneumonia,Mycoplasma pneumonia,Mycobacterium tuberculosis,
Which oncogene is found in the small cell lung carcinoma?,Ki-ras,L-myc,c-myc,n-myc,Cyclin D,
"Although most cases of lung cancer are due to tobacco smoking, lung cancer among never smokers is an impor - tant problem. Which of the following fusion oncogene is seen in nonsmall cell lung cancer?",Anaplastic lymphoma kinase (ALK) fusion oncogene,BCAM-AKT2,BCR-ABL,EWSR1-CREB1 and EWSR1-ATF1,ETV6-NTRK3,
Exposure to which of the following substances causes calcification of the rim of hilar nodes (eggshell calcification)?,Beryllium,Silica,Coal dust,Organic dust,Nylon flock exposure,
"A 19-year-old patient comes to the physician office with symptoms of fever, sore throat, and hoarseness and shortness of breath. Chest imaging shows reticu - lonodular opacities. Laboratory investigation shows elevated cold agglutinin titer. Which of the follow - ing organisms is responsible for this patient’s condition?",Mycoplasma pneumoniae,Pseudomonas aeruginosa,Staphylococcus aureus,Streptococcus pneumoniae,Streptococcus pyogenes,
Pulmonary nodules may be detected on cross sectional imaging studies performed for an unrelated reason. Which of the following is the benign tumor of the lung?,Hamartoma,Adenocarcinoma,Squamous cell carcinoma,Large cell carcinoma,Small cell carcinoma,
Gross appearance of the affected lung is shown in the figure below. Which of the following pathogen is a cause of this appearance of lung?9 Lungs 71,Streptococcus pneumoniae,Mycoplasma pneumoniae,Pneumocystis jiroveci,Streptococcus aureus,Pseudomonas aeruginosa,
A 35-year-old man presents with symptoms of chronic obstructive pulmonary disease. X-ray shows vague retic - ulonodular pattern. Bronchoscopy is done and a methe - namine silver stain highlights the cysts. Which additional testing should be performed?,Blood culture,Sputum gram stain and culture,HIV antibody testing,Mycobacterial culture,Pulmonary function testing,
All of the following paraneoplstic syndromes are seen in carcinoma lung except:,Hypertrophic osteoarthropathy,Myasthenia gravis,Cushing’s syndrome,Hypoglycemia,Hypercalcemia,
Which of the following organisms is most likely respon - sible for lung abscess?,Pseudomonas aeruginosa,Peptostreptococcus,Escherichia coli,Streptococcus pneumoniae,Streptococcus pyogenes,
"Shoulder and arm pain, atrophy of muscles of the hand and Horner syndrome are because of which of the fol - lowing condition?",Multiple myeloma,Adenoid cystic carcinoma,Pancoast tumor,Mesothelioma,Lymphoma,
,,,,,,
"A middle-aged man comes to the physician office with a lump on the left side of face for the last 8 months. Physical examination shows a painless mass in the region of the left parotid gland. The mass is completely excised. Microscopically, there are spaces lined by a double layer of epithelial cells with a dense lymphoid stroma. What is the diagnosis?",Warthin tumor,Acinic cell carcinoma,Squamous cell carcinoma,Pleomorphic adenoma,Mucoepidermoid carcinoma,
Which salivary gland is the most frequent site of tumor involvement?,Parotid gland,Submaxillary gland,Sublingual gland,Minor salivary glands,Submandibular gland,
"A 59-year-old male presents with symptoms of chronic nasal congestion, ear fullness, tinnitus, headaches, and dizziness for the last 6 months. There is a long history of smoking. Imaging studies demonstrate a left-sided, homogenous mass in the region of Rosenmuller’s fossa. Resection of the mass is done that is EBER positive. What is the diagnosis?",Granular cell tumor,Non-Hodgkin lymphoma,Rhabdomyosarcoma,Nasopharyngeal carcinoma,Paraganglioma,
Which of the following mutations are seen in medullary carcinoma of thyroid?,RET,PAX8/PPARy,RET/PTC,RAS,BRAF,
